No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,Profit_Loss,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,RB_probaility,BB_probaility,grape_probaility,rhino_probaility,clown_probaility,cherry_probaility,setting
1.0,3,0,0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6
2.0,6,0,0,0,-6,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.5,6
3.0,9,2,0,0,-7,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,6
4.0,12,16,0,0,4,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.25,6
5.0,15,16,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.2,6
6.0,18,16,0,0,-2,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,6
7.0,21,16,0,0,-5,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,6
8.0,24,16,0,0,-8,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.25,6
9.0,27,18,0,0,-9,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,6
10.0,30,18,0,0,-12,0,1,2,0,0,0.0,0.0,0.0,0.1,0.0,0.2,6
11.0,33,21,0,0,-12,0,1,2,0,0,0.0,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,6
12.0,36,21,0,0,-15,0,1,3,0,0,0.0,0.0,0.0,0.08333333333333333,0.0,0.25,6
13.0,39,23,0,0,-16,0,2,3,0,0,0.0,0.0,0.0,0.15384615384615385,0.0,0.23076923076923078,6
14.0,42,26,0,0,-16,0,2,3,0,0,0.0,0.0,0.0,0.14285714285714285,0.0,0.21428571428571427,6
15.0,45,26,0,0,-19,0,2,3,0,0,0.0,0.0,0.0,0.13333333333333333,0.0,0.2,6
16.0,48,26,0,0,-22,0,3,3,0,0,0.0,0.0,0.0,0.1875,0.0,0.1875,6
17.0,51,29,0,0,-22,0,3,3,0,0,0.0,0.0,0.0,0.17647058823529413,0.0,0.17647058823529413,6
18.0,54,29,0,0,-25,0,3,3,0,0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,6
19.0,57,29,0,0,-28,0,3,3,0,0,0.0,0.0,0.0,0.15789473684210525,0.0,0.15789473684210525,6
20.0,60,29,0,0,-31,1,3,3,0,0,0.0,0.0,0.05,0.15,0.0,0.15,6
21.0,63,37,0,0,-26,2,3,3,0,0,0.0,0.0,0.09523809523809523,0.14285714285714285,0.0,0.14285714285714285,6
22.0,66,45,0,0,-21,2,3,3,0,0,0.0,0.0,0.09090909090909091,0.13636363636363635,0.0,0.13636363636363635,6
23.0,69,45,0,0,-24,2,3,3,0,0,0.0,0.0,0.08695652173913043,0.13043478260869565,0.0,0.13043478260869565,6
24.0,72,45,0,0,-27,2,3,3,0,0,0.0,0.0,0.08333333333333333,0.125,0.0,0.125,6
25.0,75,45,0,0,-30,2,4,3,0,0,0.0,0.0,0.08,0.16,0.0,0.12,6
26.0,78,48,0,0,-30,2,4,3,0,0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.11538461538461539,6
27.0,81,48,0,0,-33,2,4,3,0,0,0.0,0.0,0.07407407407407407,0.14814814814814814,0.0,0.1111111111111111,6
28.0,84,48,0,0,-36,2,4,3,0,0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.0,0.10714285714285714,6
29.0,87,48,0,0,-39,2,5,3,0,0,0.0,0.0,0.06896551724137931,0.1724137931034483,0.0,0.10344827586206896,6
30.0,90,51,0,0,-39,3,5,3,0,0,0.0,0.0,0.1,0.16666666666666666,0.0,0.1,6
31.0,93,59,0,0,-34,3,5,4,0,0,0.0,0.0,0.0967741935483871,0.16129032258064516,0.0,0.12903225806451613,6
32.0,96,61,0,0,-35,3,6,4,0,0,0.0,0.0,0.09375,0.1875,0.0,0.125,6
33.0,99,64,0,0,-35,3,6,4,0,0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.12121212121212122,6
34.0,102,64,0,0,-38,3,6,4,0,0,0.0,0.0,0.08823529411764706,0.17647058823529413,0.0,0.11764705882352941,6
35.0,105,64,0,0,-41,3,6,4,0,0,0.0,0.0,0.08571428571428572,0.17142857142857143,0.0,0.11428571428571428,6
36.0,108,64,0,0,-44,4,6,4,0,0,0.0,0.0,0.1111111111111111,0.16666666666666666,0.0,0.1111111111111111,6
37.0,111,72,0,0,-39,4,6,4,0,0,0.0,0.0,0.10810810810810811,0.16216216216216217,0.0,0.10810810810810811,6
38.0,114,72,0,0,-42,4,7,4,0,0,0.0,0.0,0.10526315789473684,0.18421052631578946,0.0,0.10526315789473684,6
39.0,117,75,0,0,-42,4,7,4,0,0,0.0,0.0,0.10256410256410256,0.1794871794871795,0.0,0.10256410256410256,6
40.0,120,75,0,0,-45,5,7,4,0,0,0.0,0.0,0.125,0.175,0.0,0.1,6
41.0,123,83,0,0,-40,5,7,4,0,0,0.0,0.0,0.12195121951219512,0.17073170731707318,0.0,0.0975609756097561,6
42.0,126,83,0,0,-43,5,7,4,0,0,0.0,0.0,0.11904761904761904,0.16666666666666666,0.0,0.09523809523809523,6
43.0,129,83,0,0,-46,5,7,4,0,0,0.0,0.0,0.11627906976744186,0.16279069767441862,0.0,0.09302325581395349,6
44.0,132,83,0,0,-49,5,7,4,0,0,0.0,0.0,0.11363636363636363,0.1590909090909091,0.0,0.09090909090909091,6
45.0,135,83,0,0,-52,6,7,4,0,0,0.0,0.0,0.13333333333333333,0.15555555555555556,0.0,0.08888888888888889,6
46.0,138,91,0,0,-47,6,7,4,0,0,0.0,0.0,0.13043478260869565,0.15217391304347827,0.0,0.08695652173913043,6
47.0,141,91,0,0,-50,6,7,4,0,0,0.0,0.0,0.1276595744680851,0.14893617021276595,0.0,0.0851063829787234,6
48.0,144,91,0,0,-53,6,7,4,0,0,0.0,0.0,0.125,0.14583333333333334,0.0,0.08333333333333333,6
49.0,147,91,0,0,-56,6,7,4,0,0,0.0,0.0,0.12244897959183673,0.14285714285714285,0.0,0.08163265306122448,6
50.0,150,91,0,0,-59,6,8,4,0,0,0.0,0.0,0.12,0.16,0.0,0.08,6
51.0,153,94,0,0,-59,6,8,4,0,0,0.0,0.0,0.11764705882352941,0.1568627450980392,0.0,0.0784313725490196,6
52.0,156,94,0,0,-62,6,8,4,0,0,0.0,0.0,0.11538461538461539,0.15384615384615385,0.0,0.07692307692307693,6
53.0,159,94,0,0,-65,6,8,4,0,0,0.0,0.0,0.11320754716981132,0.1509433962264151,0.0,0.07547169811320754,6
54.0,162,94,0,0,-68,6,8,4,0,0,0.0,0.0,0.1111111111111111,0.14814814814814814,0.0,0.07407407407407407,6
55.0,165,94,0,0,-71,6,8,4,0,0,0.0,0.0,0.10909090909090909,0.14545454545454545,0.0,0.07272727272727272,6
56.0,168,94,0,0,-74,6,8,4,0,0,0.0,0.0,0.10714285714285714,0.14285714285714285,0.0,0.07142857142857142,6
57.0,171,94,0,0,-77,6,9,4,0,0,0.0,0.0,0.10526315789473684,0.15789473684210525,0.0,0.07017543859649122,6
58.0,174,97,0,0,-77,6,9,4,0,0,0.0,0.0,0.10344827586206896,0.15517241379310345,0.0,0.06896551724137931,6
59.0,177,97,0,0,-80,6,9,4,0,0,0.0,0.0,0.1016949152542373,0.15254237288135594,0.0,0.06779661016949153,6
60.0,180,97,0,0,-83,6,9,4,0,0,0.0,0.0,0.1,0.15,0.0,0.06666666666666667,6
61.0,183,97,0,0,-86,6,9,4,0,0,0.0,0.0,0.09836065573770492,0.14754098360655737,0.0,0.06557377049180328,6
62.0,186,97,0,0,-89,7,9,4,0,0,0.0,0.0,0.11290322580645161,0.14516129032258066,0.0,0.06451612903225806,6
63.0,189,105,0,0,-84,8,9,4,0,0,0.0,0.0,0.12698412698412698,0.14285714285714285,0.0,0.06349206349206349,6
64.0,192,113,0,0,-79,9,9,4,0,0,0.0,0.0,0.140625,0.140625,0.0,0.0625,6
65.0,195,121,0,0,-74,9,9,4,0,0,0.0,0.0,0.13846153846153847,0.13846153846153847,0.0,0.06153846153846154,6
66.0,198,121,0,0,-77,9,9,4,0,0,0.0,0.0,0.13636363636363635,0.13636363636363635,0.0,0.06060606060606061,6
67.0,201,121,0,0,-80,9,9,4,0,0,0.0,0.0,0.13432835820895522,0.13432835820895522,0.0,0.05970149253731343,6
68.0,204,121,0,0,-83,10,9,4,0,0,0.0,0.0,0.14705882352941177,0.1323529411764706,0.0,0.058823529411764705,6
69.0,207,129,0,0,-78,11,9,4,0,0,0.0,0.0,0.15942028985507245,0.13043478260869565,0.0,0.057971014492753624,6
70.0,210,137,0,0,-73,11,9,4,0,0,0.0,0.0,0.15714285714285714,0.12857142857142856,0.0,0.05714285714285714,6
71.0,213,137,0,0,-76,11,9,4,0,0,0.0,0.0,0.15492957746478872,0.1267605633802817,0.0,0.056338028169014086,6
72.0,216,137,0,0,-79,11,9,4,0,0,0.0,0.0,0.1527777777777778,0.125,0.0,0.05555555555555555,6
73.0,219,137,0,0,-82,12,9,4,0,0,0.0,0.0,0.1643835616438356,0.1232876712328767,0.0,0.0547945205479452,6
74.0,222,145,0,0,-77,12,10,4,0,0,0.0,0.0,0.16216216216216217,0.13513513513513514,0.0,0.05405405405405406,6
75.0,225,148,0,0,-77,13,10,4,0,0,0.0,0.0,0.17333333333333334,0.13333333333333333,0.0,0.05333333333333334,6
76.0,228,156,0,0,-72,13,10,5,0,0,0.0,0.0,0.17105263157894737,0.13157894736842105,0.0,0.06578947368421052,6
77.0,231,158,0,0,-73,13,10,5,0,0,0.0,0.0,0.16883116883116883,0.12987012987012986,0.0,0.06493506493506493,6
78.0,234,158,0,0,-76,13,10,5,0,0,0.0,0.0,0.16666666666666666,0.1282051282051282,0.0,0.0641025641025641,6
79.0,237,158,0,0,-79,13,11,5,0,0,0.0,0.0,0.16455696202531644,0.13924050632911392,0.0,0.06329113924050633,6
80.0,240,161,0,0,-79,13,11,5,0,0,0.0,0.0,0.1625,0.1375,0.0,0.0625,6
81.0,243,161,0,0,-82,13,12,5,0,0,0.0,0.0,0.16049382716049382,0.14814814814814814,0.0,0.06172839506172839,6
82.0,246,164,0,0,-82,13,12,5,0,0,0.0,0.0,0.15853658536585366,0.14634146341463414,0.0,0.06097560975609756,6
83.0,249,164,0,0,-85,13,13,5,0,0,0.0,0.0,0.1566265060240964,0.1566265060240964,0.0,0.060240963855421686,6
84.0,252,167,0,0,-85,13,13,5,0,0,0.0,0.0,0.15476190476190477,0.15476190476190477,0.0,0.05952380952380952,6
85.0,255,167,0,0,-88,14,13,5,0,0,0.0,0.0,0.16470588235294117,0.15294117647058825,0.0,0.058823529411764705,6
86.0,258,175,0,0,-83,14,13,5,0,0,0.0,0.0,0.16279069767441862,0.1511627906976744,0.0,0.05813953488372093,6
87.0,261,175,0,0,-86,15,13,5,0,0,0.0,0.0,0.1724137931034483,0.14942528735632185,0.0,0.05747126436781609,6
88.0,264,183,0,0,-81,15,14,5,0,0,0.0,0.0,0.17045454545454544,0.1590909090909091,0.0,0.056818181818181816,6
89.0,267,186,0,0,-81,15,14,5,0,0,0.0,0.0,0.16853932584269662,0.15730337078651685,0.0,0.056179775280898875,6
90.0,270,186,0,0,-84,15,14,5,0,0,0.0,0.0,0.16666666666666666,0.15555555555555556,0.0,0.05555555555555555,6
91.0,273,186,0,0,-87,16,14,5,0,0,0.0,0.0,0.17582417582417584,0.15384615384615385,0.0,0.054945054945054944,6
92.0,276,194,0,0,-82,16,14,5,0,0,0.0,0.0,0.17391304347826086,0.15217391304347827,0.0,0.05434782608695652,6
93.0,279,194,0,0,-85,16,14,5,0,0,0.0,0.0,0.17204301075268819,0.15053763440860216,0.0,0.053763440860215055,6
94.0,282,194,0,0,-88,17,14,5,0,0,0.0,0.0,0.18085106382978725,0.14893617021276595,0.0,0.05319148936170213,6
95.0,285,202,0,0,-83,17,15,5,0,0,0.0,0.0,0.17894736842105263,0.15789473684210525,0.0,0.05263157894736842,6
96.0,288,205,0,0,-83,17,15,5,0,0,0.0,0.0,0.17708333333333334,0.15625,0.0,0.052083333333333336,6
97.0,291,205,0,0,-86,17,16,5,0,0,0.0,0.0,0.17525773195876287,0.16494845360824742,0.0,0.05154639175257732,6
