No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,Profit_Loss,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,RB_probaility,BB_probaility,grape_probaility,rhino_probaility,clown_probaility,cherry_probaility,setting
1.0,3,0,0,0,-3,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,4
2.0,6,3,0,0,-3,0,1,0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,4
3.0,9,3,0,0,-6,1,1,0,0,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,4
4.0,12,11,0,0,-1,1,1,0,0,0,0.0,0.0,0.25,0.25,0.0,0.0,4
5.0,15,11,0,0,-4,1,2,0,0,0,0.0,0.0,0.2,0.4,0.0,0.0,4
6.0,18,14,0,0,-4,2,2,0,0,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,4
7.0,21,22,0,0,1,3,2,0,0,0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,4
8.0,24,30,0,0,6,3,2,0,0,0,0.0,0.0,0.375,0.25,0.0,0.0,4
9.0,27,30,0,0,3,3,3,0,0,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,4
10.0,30,33,0,0,3,3,3,0,0,0,0.0,0.0,0.3,0.3,0.0,0.0,4
11.0,33,33,0,0,0,3,3,0,0,0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0,4
12.0,36,33,0,0,-3,3,3,0,0,0,0.0,0.0,0.25,0.25,0.0,0.0,4
13.0,39,33,0,0,-6,3,3,0,0,0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,4
14.0,42,33,0,0,-9,3,3,0,0,0,0.0,0.0,0.21428571428571427,0.21428571428571427,0.0,0.0,4
15.0,45,33,0,0,-12,3,3,0,0,0,0.0,0.0,0.2,0.2,0.0,0.0,4
16.0,48,33,0,0,-15,3,4,0,0,0,0.0,0.0,0.1875,0.25,0.0,0.0,4
17.0,51,36,0,0,-15,3,4,0,0,0,0.0,0.0,0.17647058823529413,0.23529411764705882,0.0,0.0,4
18.0,54,36,0,0,-18,4,4,0,0,0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,4
19.0,57,44,0,0,-13,5,4,0,0,0,0.0,0.0,0.2631578947368421,0.21052631578947367,0.0,0.0,4
20.0,60,52,0,0,-8,6,4,0,0,0,0.0,0.0,0.3,0.2,0.0,0.0,4
21.0,63,60,0,0,-3,6,4,0,0,0,0.0,0.0,0.2857142857142857,0.19047619047619047,0.0,0.0,4
22.0,66,60,0,0,-6,6,4,0,0,0,0.0,0.0,0.2727272727272727,0.18181818181818182,0.0,0.0,4
23.0,69,60,0,0,-9,7,4,0,0,0,0.0,0.0,0.30434782608695654,0.17391304347826086,0.0,0.0,4
24.0,72,68,0,0,-4,7,4,0,0,0,0.0,0.0,0.2916666666666667,0.16666666666666666,0.0,0.0,4
25.0,75,68,0,0,-7,7,4,0,0,0,0.0,0.0,0.28,0.16,0.0,0.0,4
26.0,78,68,0,0,-10,7,4,0,0,0,0.0,0.0,0.2692307692307692,0.15384615384615385,0.0,0.0,4
27.0,81,68,0,0,-13,7,4,0,0,0,0.0,0.0,0.25925925925925924,0.14814814814814814,0.0,0.0,4
28.0,84,68,0,0,-16,7,4,0,0,0,0.0,0.0,0.25,0.14285714285714285,0.0,0.0,4
29.0,87,68,0,0,-19,7,4,0,0,0,0.0,0.0,0.2413793103448276,0.13793103448275862,0.0,0.0,4
30.0,90,68,0,0,-22,7,4,0,0,0,0.0,0.0,0.23333333333333334,0.13333333333333333,0.0,0.0,4
31.0,93,68,0,0,-25,7,5,0,0,0,0.0,0.0,0.22580645161290322,0.16129032258064516,0.0,0.0,4
32.0,96,71,0,0,-25,7,5,0,0,0,0.0,0.0,0.21875,0.15625,0.0,0.0,4
33.0,99,71,0,0,-28,7,6,0,0,0,0.0,0.0,0.21212121212121213,0.18181818181818182,0.0,0.0,4
34.0,102,74,0,0,-28,7,6,0,0,0,0.0,0.0,0.20588235294117646,0.17647058823529413,0.0,0.0,4
35.0,105,74,0,0,-31,7,6,0,0,0,0.0,0.0,0.2,0.17142857142857143,0.0,0.0,4
36.0,108,74,0,0,-34,7,6,0,0,0,0.0,0.0,0.19444444444444445,0.16666666666666666,0.0,0.0,4
37.0,111,74,0,0,-37,7,6,0,0,0,0.0,0.0,0.1891891891891892,0.16216216216216217,0.0,0.0,4
38.0,114,74,0,0,-40,7,6,0,0,0,0.0,0.0,0.18421052631578946,0.15789473684210525,0.0,0.0,4
39.0,117,74,0,0,-43,7,6,1,0,0,0.0,0.0,0.1794871794871795,0.15384615384615385,0.0,0.02564102564102564,4
40.0,120,76,0,0,-44,7,6,1,0,0,0.0,0.0,0.175,0.15,0.0,0.025,4
41.0,123,76,0,0,-47,8,6,1,0,0,0.0,0.0,0.1951219512195122,0.14634146341463414,0.0,0.024390243902439025,4
42.0,126,84,0,0,-42,8,6,1,0,0,0.0,0.0,0.19047619047619047,0.14285714285714285,0.0,0.023809523809523808,4
43.0,129,84,0,0,-45,8,7,1,0,0,0.0,0.0,0.18604651162790697,0.16279069767441862,0.0,0.023255813953488372,4
44.0,132,87,0,0,-45,8,8,1,0,0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.022727272727272728,4
45.0,135,90,0,0,-45,9,8,1,0,0,0.0,0.0,0.2,0.17777777777777778,0.0,0.022222222222222223,4
46.0,138,98,0,0,-40,9,8,1,0,0,0.0,0.0,0.1956521739130435,0.17391304347826086,0.0,0.021739130434782608,4
47.0,141,98,0,0,-43,9,8,1,0,0,0.0,0.0,0.19148936170212766,0.1702127659574468,0.0,0.02127659574468085,4
48.0,144,98,0,0,-46,10,8,1,0,0,0.0,0.0,0.20833333333333334,0.16666666666666666,0.0,0.020833333333333332,4
49.0,147,106,0,0,-41,10,8,1,0,0,0.0,0.0,0.20408163265306123,0.16326530612244897,0.0,0.02040816326530612,4
50.0,150,106,0,0,-44,10,8,1,0,0,0.0,0.0,0.2,0.16,0.0,0.02,4
51.0,153,106,0,0,-47,10,8,1,0,0,0.0,0.0,0.19607843137254902,0.1568627450980392,0.0,0.0196078431372549,4
52.0,156,106,0,0,-50,10,8,1,0,0,0.0,0.0,0.19230769230769232,0.15384615384615385,0.0,0.019230769230769232,4
53.0,159,106,0,0,-53,11,8,1,0,0,0.0,0.0,0.20754716981132076,0.1509433962264151,0.0,0.018867924528301886,4
54.0,162,114,0,0,-48,11,8,1,0,0,0.0,0.0,0.2037037037037037,0.14814814814814814,0.0,0.018518518518518517,4
55.0,165,114,0,0,-51,11,8,1,0,0,0.0,0.0,0.2,0.14545454545454545,0.0,0.01818181818181818,4
56.0,168,114,0,0,-54,11,8,1,0,0,0.0,0.0,0.19642857142857142,0.14285714285714285,0.0,0.017857142857142856,4
57.0,171,114,0,0,-57,11,8,1,0,0,0.0,0.0,0.19298245614035087,0.14035087719298245,0.0,0.017543859649122806,4
58.0,174,114,0,0,-60,11,9,1,0,0,0.0,0.0,0.1896551724137931,0.15517241379310345,0.0,0.017241379310344827,4
59.0,177,117,0,0,-60,11,9,1,0,0,0.0,0.0,0.1864406779661017,0.15254237288135594,0.0,0.01694915254237288,4
60.0,180,117,0,0,-63,11,9,1,0,0,0.0,0.0,0.18333333333333332,0.15,0.0,0.016666666666666666,4
61.0,183,117,0,0,-66,11,9,1,0,0,0.0,0.0,0.18032786885245902,0.14754098360655737,0.0,0.01639344262295082,4
62.0,186,117,0,0,-69,12,9,1,0,0,0.0,0.0,0.1935483870967742,0.14516129032258066,0.0,0.016129032258064516,4
63.0,189,125,0,0,-64,13,9,1,0,0,0.0,0.0,0.20634920634920634,0.14285714285714285,0.0,0.015873015873015872,4
64.0,192,133,0,0,-59,13,9,1,0,0,0.0,0.0,0.203125,0.140625,0.0,0.015625,4
65.0,195,133,0,0,-62,14,9,1,0,0,0.0,0.0,0.2153846153846154,0.13846153846153847,0.0,0.015384615384615385,4
66.0,198,141,0,0,-57,14,9,1,0,0,0.0,0.0,0.21212121212121213,0.13636363636363635,0.0,0.015151515151515152,4
67.0,201,141,0,0,-60,14,9,1,0,0,0.0,0.0,0.208955223880597,0.13432835820895522,0.0,0.014925373134328358,4
68.0,204,141,0,0,-63,15,9,1,0,0,0.0,0.0,0.22058823529411764,0.1323529411764706,0.0,0.014705882352941176,4
69.0,207,149,0,0,-58,15,9,1,0,0,0.0,0.0,0.21739130434782608,0.13043478260869565,0.0,0.014492753623188406,4
70.0,210,149,0,0,-61,15,10,1,0,0,0.0,0.0,0.21428571428571427,0.14285714285714285,0.0,0.014285714285714285,4
71.0,213,152,0,0,-61,15,10,1,0,0,0.0,0.0,0.2112676056338028,0.14084507042253522,0.0,0.014084507042253521,4
72.0,216,152,0,0,-64,15,10,1,0,0,0.0,0.0,0.20833333333333334,0.1388888888888889,0.0,0.013888888888888888,4
73.0,219,152,0,0,-67,16,10,1,0,0,0.0,0.0,0.2191780821917808,0.136986301369863,0.0,0.0136986301369863,4
74.0,222,160,0,0,-62,16,10,1,0,0,0.0,0.0,0.21621621621621623,0.13513513513513514,0.0,0.013513513513513514,4
75.0,225,160,0,0,-65,17,10,1,0,0,0.0,0.0,0.22666666666666666,0.13333333333333333,0.0,0.013333333333333334,4
76.0,228,168,0,0,-60,17,10,1,0,0,0.0,0.0,0.2236842105263158,0.13157894736842105,0.0,0.013157894736842105,4
77.0,231,168,0,0,-63,17,10,1,0,0,0.0,0.0,0.22077922077922077,0.12987012987012986,0.0,0.012987012987012988,4
78.0,234,168,0,0,-66,17,10,1,0,0,0.0,0.0,0.21794871794871795,0.1282051282051282,0.0,0.01282051282051282,4
79.0,237,168,0,0,-69,17,10,1,0,0,0.0,0.0,0.21518987341772153,0.12658227848101267,0.0,0.012658227848101266,4
80.0,240,168,0,0,-72,17,10,1,0,0,0.0,0.0,0.2125,0.125,0.0,0.0125,4
