Bonus_history,Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Rotation_(excluding_bonus),No_of_Rotation_(including_bonus),Rotations_Till_bonus,Junk1,No_of_Regular_Bonus,No_of_Big_Bonus,Junk2,Junk3,Junk4,Junk5,Junk6,Junk7
,0,0,1,1,0,0,0,0,0,294,20230926165338,0,0,0
,3,0,2,2,1,0,0,0,0,294,20230926165338,0,0,0
,6,3,3,3,2,0,0,0,0,294,20230926165338,0,0,0
,9,3,4,4,3,0,0,0,0,294,20230926165338,0,0,0
,12,6,5,5,4,0,0,0,0,294,20230926165338,0,0,0
,15,6,6,6,5,0,0,0,0,294,20230926165338,0,0,0
,18,6,7,7,6,0,0,0,0,294,20230926165338,0,0,0
,21,9,8,8,7,0,0,0,0,294,20230926165338,0,0,0
,24,9,9,9,8,0,0,0,0,294,20230926165338,0,0,0
,27,9,10,10,9,0,0,0,0,294,20230926165338,0,0,0
,30,9,11,11,10,0,0,0,0,294,20230926165338,0,0,0
,33,17,12,12,11,0,0,0,0,294,20230926165338,0,0,0
,36,19,13,13,12,0,0,0,0,294,20230926165338,0,0,0
,39,19,14,14,13,0,0,0,0,294,20230926165338,0,0,0
,42,22,15,15,14,0,0,0,0,294,20230926165338,0,0,0
,45,24,16,16,15,0,0,0,0,294,20230926165338,0,0,0
,48,27,17,17,16,0,0,0,0,294,20230926165338,0,0,0
,51,27,18,18,17,0,0,0,0,294,20230926165338,0,0,0
,54,30,19,19,18,0,0,0,0,294,20230926165338,0,0,0
,57,30,20,20,19,0,0,0,0,294,20230926165338,0,0,0
,60,38,21,21,20,0,0,0,0,294,20230926165338,0,0,0
,63,38,22,22,21,0,0,0,0,294,20230926165338,0,0,0
,66,46,23,23,22,0,0,0,0,294,20230926165338,0,0,0
,69,46,24,24,23,0,0,0,0,294,20230926165338,0,0,0
,72,54,25,25,24,0,0,0,0,294,20230926165338,0,0,0
,75,54,26,26,25,0,0,0,0,294,20230926165338,0,0,0
,78,54,27,27,26,0,0,0,0,294,20230926165338,0,0,0
,81,57,28,28,27,0,0,0,0,294,20230926165338,0,0,0
,84,60,29,29,28,0,0,0,0,294,20230926165338,0,0,0
,87,68,30,30,29,0,0,0,0,294,20230926165338,0,0,0
,90,68,31,31,30,0,0,0,0,294,20230926165338,0,0,0
,93,68,32,32,31,0,0,0,0,294,20230926165338,0,0,0
,96,76,33,33,32,0,0,0,0,294,20230926165338,0,0,0
,99,79,34,34,33,0,0,0,0,294,20230926165338,0,0,0
,102,81,35,35,34,0,0,0,0,294,20230926165338,0,0,0
,105,81,36,36,35,0,0,0,0,294,20230926165338,0,0,0
,108,81,37,37,36,0,0,0,0,294,20230926165338,0,0,0
,111,81,38,38,37,0,0,0,0,294,20230926165338,0,0,0
,114,81,39,39,38,0,0,0,0,294,20230926165338,0,0,0
,117,84,40,40,39,0,0,0,0,294,20230926165338,0,0,0
,120,84,41,41,40,0,0,0,0,294,20230926165338,0,0,0
,123,84,42,42,41,0,0,0,0,294,20230926165338,0,0,0
,126,84,43,43,42,0,0,0,0,294,20230926165338,0,0,0
,129,92,44,44,43,0,0,0,0,294,20230926165338,0,0,0
,132,92,45,45,44,0,0,0,0,294,20230926165338,0,0,0
,135,100,46,46,45,0,0,0,0,294,20230926165338,0,0,0
,138,100,47,47,46,0,0,0,0,294,20230926165338,0,0,0
,141,100,48,48,47,0,0,0,0,294,20230926165338,0,0,0
,144,100,49,49,48,0,0,0,0,294,20230926165338,0,0,0
,147,100,50,50,49,0,0,0,0,294,20230926165338,0,0,0
,150,100,51,51,50,0,0,0,0,294,20230926165338,0,0,0
,153,100,52,52,51,0,0,0,0,294,20230926165338,0,0,0
,156,100,53,53,52,0,0,0,0,294,20230926165338,0,0,0
,159,100,54,54,53,0,0,0,0,294,20230926165338,0,0,0
,162,100,55,55,54,0,0,0,0,294,20230926165338,0,0,0
,165,100,56,56,55,0,0,0,0,294,20230926165338,0,0,0
