No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,Profit_Loss,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,RB_probaility,BB_probaility,grape_probaility,rhino_probaility,clown_probaility,cherry_probaility,setting
1.0,3,0,0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3
2.0,6,0,0,0,-6,1,0,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,3
3.0,9,8,0,0,-1,1,0,0,0,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,3
4.0,12,8,0,0,-4,1,0,0,0,0,0.0,0.0,0.25,0.0,0.0,0.0,3
5.0,15,8,0,0,-7,2,0,0,0,0,0.0,0.0,0.4,0.0,0.0,0.0,3
6.0,18,16,0,0,-2,2,0,0,0,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,3
7.0,21,16,0,0,-5,2,0,0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,3
8.0,24,16,0,0,-8,2,0,0,0,0,0.0,0.0,0.25,0.0,0.0,0.0,3
9.0,25,16,1,0,-9,2,0,0,0,0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.0,3
10.0,44,128,1,0,84,2,0,0,0,0,0.1,0.0,0.2,0.0,0.0,0.0,3
11.0,47,128,1,0,81,2,0,0,0,0,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.0,3
12.0,50,128,1,0,78,2,0,0,0,0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,3
13.0,53,128,1,0,75,2,0,0,0,0,0.07692307692307693,0.0,0.15384615384615385,0.0,0.0,0.0,3
14.0,56,128,1,0,72,2,0,1,0,0,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,3
15.0,59,130,1,0,71,2,0,1,0,0,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,3
16.0,62,130,1,0,68,2,0,1,0,0,0.0625,0.0,0.125,0.0,0.0,0.0625,3
17.0,65,130,1,0,65,2,0,1,0,0,0.058823529411764705,0.0,0.11764705882352941,0.0,0.0,0.058823529411764705,3
18.0,68,130,1,0,62,2,0,1,0,0,0.05555555555555555,0.0,0.1111111111111111,0.0,0.0,0.05555555555555555,3
19.0,71,130,1,0,59,2,0,1,0,0,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.05263157894736842,3
20.0,74,130,1,0,56,2,0,1,0,0,0.05,0.0,0.1,0.0,0.0,0.05,3
21.0,77,130,1,0,53,2,1,1,0,0,0.047619047619047616,0.0,0.09523809523809523,0.047619047619047616,0.0,0.047619047619047616,3
22.0,80,133,1,0,53,2,1,1,0,0,0.045454545454545456,0.0,0.09090909090909091,0.045454545454545456,0.0,0.045454545454545456,3
23.0,83,133,1,0,50,2,1,1,0,0,0.043478260869565216,0.0,0.08695652173913043,0.043478260869565216,0.0,0.043478260869565216,3
24.0,86,133,1,0,47,3,1,1,0,0,0.041666666666666664,0.0,0.125,0.041666666666666664,0.0,0.041666666666666664,3
25.0,89,141,1,0,52,3,1,1,0,0,0.04,0.0,0.12,0.04,0.0,0.04,3
26.0,92,141,1,0,49,3,1,1,0,0,0.038461538461538464,0.0,0.11538461538461539,0.038461538461538464,0.0,0.038461538461538464,3
27.0,95,141,1,0,46,4,1,1,0,0,0.037037037037037035,0.0,0.14814814814814814,0.037037037037037035,0.0,0.037037037037037035,3
28.0,98,149,1,0,51,4,1,1,0,0,0.03571428571428571,0.0,0.14285714285714285,0.03571428571428571,0.0,0.03571428571428571,3
29.0,101,149,1,0,48,4,1,1,0,0,0.034482758620689655,0.0,0.13793103448275862,0.034482758620689655,0.0,0.034482758620689655,3
30.0,104,149,1,0,45,4,1,1,0,0,0.03333333333333333,0.0,0.13333333333333333,0.03333333333333333,0.0,0.03333333333333333,3
31.0,107,149,1,0,42,4,1,1,0,0,0.03225806451612903,0.0,0.12903225806451613,0.03225806451612903,0.0,0.03225806451612903,3
32.0,110,149,1,0,39,4,1,1,0,0,0.03125,0.0,0.125,0.03125,0.0,0.03125,3
33.0,113,149,1,0,36,4,2,1,0,0,0.030303030303030304,0.0,0.12121212121212122,0.06060606060606061,0.0,0.030303030303030304,3
34.0,116,152,1,0,36,4,3,1,0,0,0.029411764705882353,0.0,0.11764705882352941,0.08823529411764706,0.0,0.029411764705882353,3
