No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,Profit_Loss,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,RB_probaility,BB_probaility,grape_probaility,rhino_probaility,clown_probaility,cherry_probaility,setting
1.0,3,0,0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5
2.0,6,0,0,0,-6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5
3.0,9,0,0,0,-9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,12,0,0,0,-12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5
5.0,15,0,0,0,-15,0,1,0,0,0,0.0,0.0,0.0,0.2,0.0,0.0,5
6.0,18,3,0,0,-15,1,1,0,0,0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,5
7.0,21,11,0,0,-10,1,1,0,0,0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,5
8.0,24,11,0,0,-13,1,1,0,0,0,0.0,0.0,0.125,0.125,0.0,0.0,5
9.0,27,11,0,0,-16,1,1,0,0,0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,5
10.0,30,11,0,0,-19,1,1,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,5
11.0,33,11,0,0,-22,1,1,0,0,0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,5
12.0,36,11,0,0,-25,1,1,0,0,0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,5
13.0,39,11,0,0,-28,1,1,0,0,0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,5
14.0,42,11,0,0,-31,1,1,0,0,0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,5
15.0,43,11,0,1,-32,1,1,0,0,0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,5
16.0,88,305,0,1,217,2,1,0,0,0,0.0,0.0625,0.125,0.0625,0.0,0.0,5
17.0,91,313,0,1,222,2,1,1,0,0,0.0,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,5
18.0,94,315,0,1,221,2,1,1,0,0,0.0,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.0,0.05555555555555555,5
19.0,97,315,0,1,218,2,1,1,0,0,0.0,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.0,0.05263157894736842,5
20.0,100,315,0,1,215,2,1,1,0,0,0.0,0.05,0.1,0.05,0.0,0.05,5
21.0,103,315,0,1,212,2,2,1,0,0,0.0,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.0,0.047619047619047616,5
22.0,106,318,0,1,212,2,3,1,0,0,0.0,0.045454545454545456,0.09090909090909091,0.13636363636363635,0.0,0.045454545454545456,5
23.0,109,321,0,1,212,3,3,1,0,0,0.0,0.043478260869565216,0.13043478260869565,0.13043478260869565,0.0,0.043478260869565216,5
24.0,112,329,0,1,217,4,3,1,0,0,0.0,0.041666666666666664,0.16666666666666666,0.125,0.0,0.041666666666666664,5
