No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,Profit_Loss,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,RB_probaility,BB_probaility,grape_probaility,rhino_probaility,clown_probaility,cherry_probaility,setting
1.0,3,0,0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3
2.0,6,0,0,0,-6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3
3.0,9,0,0,0,-9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3
4.0,12,0,0,0,-12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3
5.0,15,0,0,0,-15,0,1,0,0,0,0.0,0.0,0.0,0.2,0.0,0.0,3
6.0,18,3,0,0,-15,0,1,0,0,0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,3
7.0,21,3,0,0,-18,0,1,0,0,0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,3
8.0,24,3,0,0,-21,0,1,0,0,0,0.0,0.0,0.0,0.125,0.0,0.0,3
9.0,27,3,0,0,-24,0,1,0,0,0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,3
10.0,30,3,0,0,-27,0,1,0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,3
11.0,33,3,0,0,-30,0,1,0,0,0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,3
12.0,36,3,0,0,-33,0,1,0,0,0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,3
13.0,39,3,0,0,-36,1,1,0,0,0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,3
14.0,42,11,0,0,-31,1,1,0,0,0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,3
15.0,45,11,0,0,-34,1,1,0,0,0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,3
16.0,48,11,0,0,-37,1,1,0,0,0,0.0,0.0,0.0625,0.0625,0.0,0.0,3
