No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,Profit_Loss,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,RB_probaility,BB_probaility,grape_probaility,rhino_probaility,clown_probaility,cherry_probaility,setting
1.0,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5
2.0,6,3,0,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5
3.0,9,3,0,0,-6,1,0,0,0,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,5
4.0,12,11,0,0,-1,1,0,0,0,0,0.0,0.0,0.25,0.0,0.0,0.0,5
5.0,15,11,0,0,-4,1,0,0,0,0,0.0,0.0,0.2,0.0,0.0,0.0,5
6.0,18,11,0,0,-7,1,0,0,0,0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,5
7.0,21,11,0,0,-10,1,0,0,0,0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,5
8.0,24,11,0,0,-13,1,0,0,0,0,0.0,0.0,0.125,0.0,0.0,0.0,5
9.0,27,11,0,0,-16,1,0,0,0,0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,5
10.0,28,11,1,0,-17,1,0,0,0,0,0.1,0.0,0.1,0.0,0.0,0.0,5
11.0,47,123,1,0,76,1,0,0,0,0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,5
12.0,50,123,1,0,73,1,1,0,0,0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,5
13.0,53,126,1,0,73,2,1,0,0,0,0.07692307692307693,0.0,0.15384615384615385,0.07692307692307693,0.0,0.0,5
14.0,56,134,1,0,78,2,1,0,0,0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0,5
15.0,59,134,1,0,75,2,1,0,0,0,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,5
16.0,62,134,1,0,72,2,1,0,0,0,0.0625,0.0,0.125,0.0625,0.0,0.0,5
17.0,65,134,1,0,69,2,2,0,0,0,0.058823529411764705,0.0,0.11764705882352941,0.11764705882352941,0.0,0.0,5
