No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,Profit_Loss,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,RB_probaility,BB_probaility,grape_probaility,rhino_probaility,clown_probaility,cherry_probaility,setting
1.0,3,0,0,0,-3,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,2
2.0,6,8,0,0,2,1,0,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,2
3.0,9,8,0,0,-1,1,0,0,0,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2
4.0,12,8,0,0,-4,1,0,0,0,0,0.0,0.0,0.25,0.0,0.0,0.0,2
5.0,15,8,0,0,-7,1,0,0,0,0,0.0,0.0,0.2,0.0,0.0,0.0,2
6.0,18,8,0,0,-10,1,0,0,0,0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,2
7.0,21,8,0,0,-13,1,1,0,0,0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,2
8.0,24,11,0,0,-13,2,1,0,0,0,0.0,0.0,0.25,0.125,0.0,0.0,2
9.0,27,19,0,0,-8,2,2,0,0,0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,2
10.0,30,22,0,0,-8,3,2,0,0,0,0.0,0.0,0.3,0.2,0.0,0.0,2
11.0,33,30,0,0,-3,3,2,0,0,0,0.0,0.0,0.2727272727272727,0.18181818181818182,0.0,0.0,2
12.0,36,30,0,0,-6,3,3,0,0,0,0.0,0.0,0.25,0.25,0.0,0.0,2
13.0,39,33,0,0,-6,4,3,0,0,0,0.0,0.0,0.3076923076923077,0.23076923076923078,0.0,0.0,2
14.0,42,41,0,0,-1,5,3,0,0,0,0.0,0.0,0.35714285714285715,0.21428571428571427,0.0,0.0,2
15.0,45,49,0,0,4,5,3,0,0,0,0.0,0.0,0.3333333333333333,0.2,0.0,0.0,2
16.0,48,49,0,0,1,5,4,0,0,0,0.0,0.0,0.3125,0.25,0.0,0.0,2
17.0,51,52,0,0,1,5,4,0,0,0,0.0,0.0,0.29411764705882354,0.23529411764705882,0.0,0.0,2
18.0,54,52,0,0,-2,5,4,0,0,0,0.0,0.0,0.2777777777777778,0.2222222222222222,0.0,0.0,2
19.0,57,52,0,0,-5,5,4,0,0,0,0.0,0.0,0.2631578947368421,0.21052631578947367,0.0,0.0,2
20.0,60,52,0,0,-8,5,4,0,0,0,0.0,0.0,0.25,0.2,0.0,0.0,2
21.0,63,52,0,0,-11,5,4,0,0,0,0.0,0.0,0.23809523809523808,0.19047619047619047,0.0,0.0,2
22.0,66,52,0,0,-14,5,4,0,0,0,0.0,0.0,0.22727272727272727,0.18181818181818182,0.0,0.0,2
23.0,69,52,0,0,-17,5,4,0,0,0,0.0,0.0,0.21739130434782608,0.17391304347826086,0.0,0.0,2
24.0,72,52,0,0,-20,5,4,0,0,0,0.0,0.0,0.20833333333333334,0.16666666666666666,0.0,0.0,2
25.0,75,52,0,0,-23,5,5,0,0,0,0.0,0.0,0.2,0.2,0.0,0.0,2
26.0,78,55,0,0,-23,5,5,0,0,0,0.0,0.0,0.19230769230769232,0.19230769230769232,0.0,0.0,2
27.0,81,55,0,0,-26,5,6,0,0,0,0.0,0.0,0.18518518518518517,0.2222222222222222,0.0,0.0,2
28.0,84,58,0,0,-26,6,6,0,0,0,0.0,0.0,0.21428571428571427,0.21428571428571427,0.0,0.0,2
29.0,87,66,0,0,-21,6,6,0,0,0,0.0,0.0,0.20689655172413793,0.20689655172413793,0.0,0.0,2
30.0,90,66,0,0,-24,6,7,0,0,0,0.0,0.0,0.2,0.23333333333333334,0.0,0.0,2
31.0,93,69,0,0,-24,6,7,0,0,0,0.0,0.0,0.1935483870967742,0.22580645161290322,0.0,0.0,2
32.0,96,69,0,0,-27,6,8,0,0,0,0.0,0.0,0.1875,0.25,0.0,0.0,2
33.0,99,72,0,0,-27,6,8,0,0,0,0.0,0.0,0.18181818181818182,0.24242424242424243,0.0,0.0,2
34.0,102,72,0,0,-30,6,9,0,0,0,0.0,0.0,0.17647058823529413,0.2647058823529412,0.0,0.0,2
35.0,105,75,0,0,-30,6,10,0,0,0,0.0,0.0,0.17142857142857143,0.2857142857142857,0.0,0.0,2
36.0,108,78,0,0,-30,6,10,0,0,0,0.0,0.0,0.16666666666666666,0.2777777777777778,0.0,0.0,2
