Bonus_history,Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Rotation_(excluding_bonus),No_of_Rotation_(including_bonus),Rotations_Till_bonus,Junk1,No_of_Regular_Bonus,No_of_Big_Bonus,Junk2,Junk3,Junk4,Junk5,Junk6,Junk7
,0,0,1,1,0,0,0,0,0,294,20230929120523,0,0,0
,3,0,2,2,1,0,0,0,0,294,20230929120523,0,0,0
,6,8,3,3,2,0,0,0,0,294,20230929120523,0,0,0
,9,16,4,4,3,0,0,0,0,294,20230929120523,0,0,0
,12,16,5,5,4,0,0,0,0,294,20230929120523,0,0,0
,15,16,6,6,5,0,0,0,0,294,20230929120523,0,0,0
,18,16,7,7,6,0,0,0,0,294,20230929120523,0,0,0
,21,16,8,8,7,0,0,0,0,294,20230929120523,0,0,0
,24,16,9,9,8,0,0,0,0,294,20230929120523,0,0,0
,27,16,10,10,9,0,0,0,0,294,20230929120523,0,0,0
,30,16,11,11,10,0,0,0,0,294,20230929120523,0,0,0
,33,19,12,12,11,0,0,0,0,294,20230929120523,0,0,0
,36,22,13,13,12,0,0,0,0,294,20230929120523,0,0,0
,39,22,14,14,13,0,0,0,0,294,20230929120523,0,0,0
,42,22,15,15,14,0,0,0,0,294,20230929120523,0,0,0
,45,22,16,16,15,0,0,0,0,294,20230929120523,0,0,0
,48,25,17,17,16,0,0,0,0,294,20230929120523,0,0,0
,51,25,18,18,17,0,0,0,0,294,20230929120523,0,0,0
,54,25,19,19,18,0,0,0,0,294,20230929120523,0,0,0
,57,25,20,20,19,0,0,0,0,294,20230929120523,0,0,0
,60,25,21,21,20,0,0,0,0,294,20230929120523,0,0,0
,63,33,22,22,21,0,0,0,0,294,20230929120523,0,0,0
,66,33,23,23,22,0,0,0,0,294,20230929120523,0,0,0
,69,33,24,24,23,0,0,0,0,294,20230929120523,0,0,0
,72,36,25,25,24,0,0,0,0,294,20230929120523,0,0,0
,75,36,26,26,25,0,0,0,0,294,20230929120523,0,0,0
,78,36,27,27,26,0,0,0,0,294,20230929120523,0,0,0
,81,36,28,28,27,0,0,0,0,294,20230929120523,0,0,0
,84,39,29,29,28,0,0,0,0,294,20230929120523,0,0,0
,87,42,30,30,29,0,0,0,0,294,20230929120523,0,0,0
,90,42,31,31,30,0,0,0,0,294,20230929120523,0,0,0
,93,42,32,32,31,0,0,0,0,294,20230929120523,0,0,0
,96,42,33,33,32,0,0,0,0,294,20230929120523,0,0,0
,99,42,34,34,33,0,0,0,0,294,20230929120523,0,0,0
,102,42,35,35,34,0,0,0,0,294,20230929120523,0,0,0
,105,45,36,36,35,0,0,0,0,294,20230929120523,0,0,0
,108,48,37,37,36,0,0,0,0,294,20230929120523,0,0,0
,111,56,38,38,37,0,0,0,0,294,20230929120523,0,0,0
,114,56,39,39,38,0,0,0,0,294,20230929120523,0,0,0
