No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,Profit_Loss,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,RB_probaility,BB_probaility,grape_probaility,rhino_probaility,clown_probaility,cherry_probaility,setting
1.0,3,8,0,0,5,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,3
2.0,6,11,0,0,5,0,1,0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,3
3.0,9,11,0,0,2,0,1,0,0,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,3
4.0,12,11,0,0,-1,1,1,0,0,0,0.0,0.0,0.25,0.25,0.0,0.0,3
5.0,15,19,0,0,4,1,1,0,0,0,0.0,0.0,0.2,0.2,0.0,0.0,3
6.0,18,19,0,0,1,1,1,0,0,0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,3
7.0,21,19,0,0,-2,1,1,0,0,0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,3
8.0,24,19,0,0,-5,1,1,1,0,0,0.0,0.0,0.125,0.125,0.0,0.125,3
9.0,27,21,0,0,-6,2,1,1,0,0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,3
10.0,30,29,0,0,-1,2,2,1,0,0,0.0,0.0,0.2,0.2,0.0,0.1,3
11.0,33,32,0,0,-1,2,2,1,0,0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,3
12.0,36,32,0,0,-4,2,2,1,0,0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.08333333333333333,3
13.0,39,32,0,0,-7,3,2,1,0,0,0.0,0.0,0.23076923076923078,0.15384615384615385,0.0,0.07692307692307693,3
14.0,42,40,0,0,-2,4,2,1,0,0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.07142857142857142,3
15.0,45,48,0,0,3,4,2,1,0,0,0.0,0.0,0.26666666666666666,0.13333333333333333,0.0,0.06666666666666667,3
16.0,48,48,0,0,0,4,2,1,0,0,0.0,0.0,0.25,0.125,0.0,0.0625,3
17.0,51,48,0,0,-3,4,2,1,0,0,0.0,0.0,0.23529411764705882,0.11764705882352941,0.0,0.058823529411764705,3
18.0,54,48,0,0,-6,4,2,1,0,0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.05555555555555555,3
19.0,57,48,0,0,-9,4,2,1,0,0,0.0,0.0,0.21052631578947367,0.10526315789473684,0.0,0.05263157894736842,3
20.0,60,48,0,0,-12,5,2,1,0,0,0.0,0.0,0.25,0.1,0.0,0.05,3
21.0,63,56,0,0,-7,5,2,1,0,0,0.0,0.0,0.23809523809523808,0.09523809523809523,0.0,0.047619047619047616,3
22.0,66,56,0,0,-10,5,2,1,0,0,0.0,0.0,0.22727272727272727,0.09090909090909091,0.0,0.045454545454545456,3
23.0,69,56,0,0,-13,5,2,1,0,0,0.0,0.0,0.21739130434782608,0.08695652173913043,0.0,0.043478260869565216,3
24.0,72,56,0,0,-16,5,2,1,0,0,0.0,0.0,0.20833333333333334,0.08333333333333333,0.0,0.041666666666666664,3
25.0,75,56,0,0,-19,5,3,1,0,0,0.0,0.0,0.2,0.12,0.0,0.04,3
26.0,78,59,0,0,-19,5,4,1,0,0,0.0,0.0,0.19230769230769232,0.15384615384615385,0.0,0.038461538461538464,3
27.0,81,62,0,0,-19,5,4,1,0,0,0.0,0.0,0.18518518518518517,0.14814814814814814,0.0,0.037037037037037035,3
