"店舗コード","企業名","店舗名","機番号","備考","売上集計日","売上連番","売上時間","削除フラグ","チケット種類","購入方法","電子マネー","売上金額","品目名","グループ名","枚数","税率"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-19","11","2022-05-19 16:36:26","通常売上","通常券","店内／現金","","780","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","12","2022-05-20 11:11:45","通常売上","通常券","店内／現金","","780","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","13","2022-05-20 11:11:45","通常売上","通常券","店内／現金","","200","チャーシュー増し","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","14","2022-05-20 11:12:27","通常売上","通常券","店内／現金","","780","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","15","2022-05-20 11:12:27","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","16","2022-05-20 11:13:35","通常売上","通常券","店内／現金","","930","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","17","2022-05-20 11:13:35","通常売上","通常券","店内／現金","","100","麺大盛","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","18","2022-05-20 11:16:02","通常売上","通常券","店内／現金","","850","まぜそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","19","2022-05-20 11:16:02","通常売上","通常券","店内／現金","","200","チャーシュー増し","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","20","2022-05-20 11:16:02","通常売上","通常券","店内／現金","","390","生ビール","ドリンク","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","21","2022-05-20 11:26:01","通常売上","通常券","店内／現金","","780","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","22","2022-05-20 11:28:10","通常売上","通常券","店内／現金","","930","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","23","2022-05-20 11:28:53","通常売上","通常券","店内／現金","","390","生ビール","ドリンク","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","24","2022-05-20 11:29:02","通常売上","通常券","店内／現金","","350","レモン酎ハイ","ドリンク","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","25","2022-05-20 11:29:16","通常売上","通常券","店内／現金","","250","メンマ","一品","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","26","2022-05-20 11:29:24","通常売上","通常券","店内／現金","","250","鶏むね肉の梅肉和え","一品","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","27","2022-05-20 11:36:55","通常売上","通常券","店内／現金","","780","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","28","2022-05-20 11:36:55","通常売上","通常券","店内／現金","","200","チャーシュー増し","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","29","2022-05-20 11:37:41","通常売上","通常券","店内／現金","","950","冷やし鶏塩そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","30","2022-05-20 11:37:48","通常売上","通常券","店内／現金","","930","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","31","2022-05-20 11:37:55","通常売上","通常券","店内／現金","","350","レモン酎ハイ","ドリンク","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","32","2022-05-20 11:38:01","通常売上","通常券","店内／現金","","390","生ビール","ドリンク","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","33","2022-05-20 11:46:49","通常売上","通常券","店内／現金","","780","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","34","2022-05-20 11:46:49","通常売上","通常券","店内／現金","","100","麺大盛","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","35","2022-05-20 11:47:10","通常売上","通常券","店内／現金","","250","豚丼","ご飯もの","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","36","2022-05-20 11:52:08","通常売上","通常券","店内／現金","","780","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","37","2022-05-20 11:52:08","通常売上","通常券","店内／現金","","250","バターご飯","ご飯もの","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","38","2022-05-20 11:53:41","通常売上","通常券","店内／現金","","780","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","39","2022-05-20 11:53:41","通常売上","通常券","店内／現金","","200","チャーシュー増し","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","40","2022-05-20 11:53:41","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","41","2022-05-20 11:57:37","通常売上","通常券","店内／現金","","780","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","42","2022-05-20 11:57:37","通常売上","通常券","店内／現金","","100","麺大盛","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","43","2022-05-20 11:58:35","通常売上","通常券","店内／現金","","780","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","44","2022-05-20 11:59:10","通常売上","通常券","店内／現金","","780","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","45","2022-05-20 12:00:41","通常売上","通常券","店内／現金","","930","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","46","2022-05-20 12:00:41","通常売上","通常券","店内／現金","","100","麺大盛","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","47","2022-05-20 12:00:41","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","48","2022-05-20 12:00:41","通常売上","通常券","店内／現金","","200","ご飯(大)","ご飯もの","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","49","2022-05-20 12:00:41","通常売上","通常券","店内／現金","","390","角ハイボール","ドリンク","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","50","2022-05-20 12:01:00","通常売上","通常券","店内／現金","","390","生ビール","ドリンク","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","51","2022-05-20 12:01:00","通常売上","通常券","店内／現金","","780","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","52","2022-05-20 12:01:00","通常売上","通常券","店内／現金","","100","麺大盛","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","53","2022-05-20 12:05:56","通常売上","通常券","店内／現金","","850","まぜそば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","54","2022-05-20 12:06:26","通常売上","通常券","店内／現金","","780","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","55","2022-05-20 12:06:26","通常売上","通常券","店内／現金","","100","麺大盛","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","56","2022-05-20 12:06:26","通常売上","通常券","店内／現金","","100","煮卵","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","57","2022-05-20 12:07:05","通常売上","通常券","店内／現金","","780","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","58","2022-05-20 12:07:53","通常売上","通常券","店内／現金","","780","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","59","2022-05-20 12:09:04","通常売上","通常券","店内／現金","","930","熟成塩鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","60","2022-05-20 12:12:04","通常売上","通常券","店内／現金","","780","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","61","2022-05-20 12:12:04","通常売上","通常券","店内／現金","","100","麺大盛","トッピング","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","62","2022-05-20 12:12:04","通常売上","通常券","店内／現金","","250","バターご飯","ご飯もの","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","63","2022-05-20 12:12:50","通常売上","通常券","店内／現金","","780","鶏そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","64","2022-05-20 12:13:00","通常売上","通常券","店内／現金","","950","冷やし鶏塩そば","ラーメン","1","0"
"os31336-010","株式会社開花者","ボクの麺処","1","","2022-05-20","65","2022-05-20 12:13:56","通常売上","通常券","店内／現金","","930","熟成塩鶏そば","ラーメン","1","0"
