No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,setting
1.0,3,0,0,0,0,0,0,0,0,5
2.0,6,0,0,0,1,0,0,0,0,5
3.0,9,8,0,0,2,0,0,0,0,5
4.0,12,16,0,0,2,0,0,0,0,5
5.0,15,16,0,0,2,0,0,0,0,5
6.0,18,16,0,0,2,0,0,0,0,5
7.0,21,16,0,0,2,1,0,0,0,5
8.0,24,19,0,0,2,2,0,0,0,5
9.0,27,22,0,0,2,2,0,0,0,5
10.0,30,22,0,0,2,2,1,0,0,5
11.0,33,24,0,0,2,3,1,0,0,5
12.0,36,27,0,0,2,3,1,0,0,5
13.0,39,27,0,0,2,3,1,0,0,5
14.0,42,27,0,0,2,3,1,0,0,5
15.0,45,27,0,0,2,3,1,0,0,5
16.0,48,27,0,0,2,4,1,0,0,5
17.0,51,30,0,0,3,4,1,0,0,5
18.0,54,38,0,0,3,4,1,0,0,5
19.0,57,38,0,0,3,4,1,0,0,5
20.0,60,38,0,0,3,4,1,0,0,5
21.0,63,38,0,0,4,4,1,0,0,5
22.0,66,46,0,0,4,4,1,0,0,5
23.0,69,46,0,0,4,4,1,0,0,5
24.0,72,46,0,0,4,4,2,0,0,5
25.0,75,48,0,0,4,5,2,0,0,5
26.0,78,51,0,0,4,5,2,0,0,5
27.0,81,51,0,0,4,5,2,0,0,5
28.0,84,51,0,0,4,5,2,0,0,5
29.0,87,51,0,0,4,5,2,0,0,5
30.0,90,51,0,0,4,5,2,0,0,5
31.0,93,51,0,0,4,5,2,0,0,5
32.0,96,51,0,0,4,5,2,0,0,5
33.0,99,51,0,0,4,5,2,0,0,5
34.0,102,51,0,0,4,5,2,0,0,5
35.0,105,51,0,0,4,5,2,0,0,5
36.0,108,51,0,0,4,5,2,0,0,5
37.0,111,51,0,0,4,6,2,0,0,5
38.0,114,54,0,0,4,6,2,0,0,5
39.0,117,54,0,0,5,6,2,0,0,5
40.0,120,62,0,0,6,6,2,0,0,5
41.0,123,70,0,0,6,6,2,0,0,5
42.0,126,70,0,0,6,6,2,0,0,5
43.0,129,70,0,0,6,6,2,0,0,5
44.0,132,70,0,0,6,6,2,0,0,5
45.0,135,70,0,0,6,6,2,0,0,5
46.0,138,70,0,0,6,6,2,0,0,5
47.0,141,70,0,0,6,6,2,0,0,5
48.0,144,70,0,0,6,6,2,0,0,5
49.0,147,70,0,0,6,6,2,0,0,5
50.0,150,70,0,0,6,6,2,0,0,5
51.0,153,70,0,0,6,7,2,0,0,5
52.0,156,73,0,0,6,7,2,0,0,5
53.0,159,73,0,0,6,8,2,0,0,5
54.0,162,76,0,0,6,8,2,0,0,5
55.0,165,76,0,0,6,8,2,0,0,5
56.0,168,76,0,0,6,8,2,0,0,5
57.0,171,76,0,0,6,9,2,0,0,5
58.0,174,79,0,0,6,9,2,0,0,5
59.0,177,79,0,0,6,9,2,0,0,5
60.0,180,79,0,0,6,9,2,0,0,5
61.0,183,79,0,0,6,9,2,0,0,5
62.0,186,79,0,0,6,10,2,0,0,5
63.0,189,82,0,0,6,11,2,0,0,5
64.0,192,85,0,0,6,11,2,0,0,5
65.0,195,85,0,0,6,11,2,0,0,5
66.0,198,85,0,0,6,11,2,0,0,5
67.0,201,85,0,0,6,11,2,0,0,5
68.0,204,85,0,0,6,11,2,0,0,5
69.0,207,85,0,0,6,11,2,0,0,5
70.0,210,85,0,0,7,11,2,0,0,5
71.0,213,93,0,0,7,11,2,0,0,5
72.0,216,93,0,0,8,11,2,0,0,5
73.0,219,101,0,0,8,11,2,0,0,5
74.0,222,101,0,0,8,11,2,0,0,5
75.0,225,101,0,0,8,11,2,0,0,5
76.0,228,101,0,0,8,11,2,0,0,5
77.0,231,101,0,0,8,11,2,0,0,5
78.0,234,101,0,0,8,11,2,0,0,5
79.0,237,101,0,0,8,12,2,0,0,5
80.0,240,104,0,0,8,12,2,0,0,5
81.0,243,104,0,0,8,12,2,0,0,5
82.0,246,104,0,0,8,12,2,0,0,5
83.0,249,104,0,0,9,12,2,0,0,5
84.0,252,112,0,0,9,12,3,0,0,5
85.0,255,114,0,0,9,13,3,0,0,5
86.0,258,117,0,0,9,14,3,0,0,5
87.0,261,120,0,0,9,14,3,0,0,5
88.0,264,120,0,0,9,14,3,0,0,5
89.0,267,120,0,0,9,14,3,0,0,5
90.0,270,120,0,0,9,14,3,0,0,5
91.0,273,120,0,0,10,14,3,0,0,5
92.0,276,128,0,0,10,14,3,0,0,5
93.0,279,128,0,0,10,15,3,0,0,5
94.0,282,131,0,0,10,15,3,0,0,5
95.0,285,131,0,0,10,15,3,0,0,5
96.0,288,131,0,0,11,15,3,0,0,5
97.0,291,139,0,0,11,16,3,0,0,5
98.0,294,142,0,0,11,16,3,0,0,5
99.0,297,142,0,0,11,17,3,0,0,5
100.0,300,145,0,0,11,17,3,0,0,5
101.0,303,145,0,0,11,17,3,0,0,5
102.0,306,145,0,0,11,17,3,0,0,5
103.0,309,145,0,0,11,17,3,0,0,5
104.0,312,145,0,0,12,17,3,0,0,5
105.0,315,153,0,0,12,17,3,0,0,5
106.0,318,153,0,0,13,17,3,0,0,5
107.0,321,161,0,0,13,18,3,0,0,5
108.0,324,164,0,0,13,18,3,0,0,5
109.0,327,164,0,0,13,18,3,0,0,5
110.0,330,164,0,0,13,18,3,0,0,5
111.0,333,164,0,0,14,18,3,0,0,5
112.0,336,172,0,0,15,18,3,0,0,5
113.0,339,180,0,0,15,18,3,0,0,5
114.0,342,180,0,0,15,18,3,0,0,5
115.0,345,180,0,0,15,18,3,0,0,5
116.0,348,180,0,0,16,18,3,0,0,5
117.0,351,188,0,0,16,19,3,0,0,5
118.0,354,191,0,0,16,19,3,0,0,5
119.0,357,191,0,0,16,20,3,0,0,5
120.0,360,194,0,0,16,21,3,0,0,5
121.0,363,197,0,0,16,21,3,0,0,5
122.0,366,197,0,0,16,21,3,0,0,5
123.0,369,197,0,0,16,21,3,0,0,5
124.0,372,197,0,0,16,21,3,0,0,5
125.0,375,197,0,0,16,21,3,0,0,5
126.0,378,197,0,0,16,22,3,0,0,5
127.0,381,200,0,0,17,22,3,0,0,5
128.0,384,208,0,0,17,22,3,0,0,5
129.0,387,208,0,0,17,23,3,0,0,5
130.0,390,211,0,0,17,23,3,0,0,5
131.0,393,211,0,0,17,23,3,0,0,5
132.0,396,211,0,0,17,23,3,0,0,5
133.0,399,211,0,0,18,23,3,0,0,5
134.0,402,219,0,0,18,23,3,0,0,5
135.0,405,219,0,0,18,23,3,0,0,5
136.0,408,219,0,0,18,23,3,0,0,5
137.0,411,219,0,0,18,23,3,0,0,5
138.0,414,219,0,0,18,23,3,0,0,5
139.0,417,219,0,0,18,23,3,0,0,5
140.0,420,219,0,0,18,23,3,0,0,5
141.0,423,219,0,0,18,23,3,0,0,5
142.0,426,219,0,0,18,24,3,0,0,5
143.0,429,222,0,0,18,24,3,0,0,5
144.0,432,222,0,0,19,24,3,0,0,5
145.0,435,230,0,0,19,24,3,0,0,5
146.0,438,230,0,0,19,25,3,0,0,5
147.0,441,233,0,0,19,25,3,0,0,5
148.0,444,233,0,0,20,25,3,0,0,5
149.0,447,241,0,0,20,25,3,0,0,5
150.0,450,241,0,0,20,25,3,0,0,5
151.0,453,241,0,0,20,25,3,0,0,5
152.0,456,241,0,0,20,25,3,0,0,5
153.0,459,241,0,0,20,25,3,0,0,5
154.0,462,241,0,0,20,25,3,0,0,5
155.0,465,241,0,0,20,26,3,0,0,5
156.0,468,244,0,0,20,27,3,0,0,5
157.0,471,247,0,0,21,27,3,0,0,5
158.0,474,255,0,0,21,27,3,0,0,5
159.0,477,255,0,0,22,27,3,0,0,5
160.0,480,263,0,0,22,27,3,0,0,5
161.0,483,263,0,0,22,27,3,0,0,5
162.0,486,263,0,0,22,28,3,0,0,5
163.0,489,266,0,0,22,28,3,0,0,5
164.0,492,266,0,0,22,28,3,0,0,5
165.0,495,266,0,0,22,29,3,0,0,5
166.0,498,269,0,0,23,29,3,0,0,5
167.0,501,277,0,0,24,29,3,0,0,5
168.0,504,285,0,0,24,29,3,0,0,5
169.0,507,285,0,0,24,29,3,0,0,5
170.0,510,285,0,0,24,29,3,0,0,5
171.0,513,285,0,0,24,29,3,0,0,5
172.0,516,285,0,0,24,29,3,0,0,5
173.0,519,285,0,0,24,29,3,0,0,5
174.0,522,285,0,0,24,29,3,0,0,5
175.0,525,285,0,0,25,29,3,0,0,5
176.0,528,293,0,0,25,29,3,0,0,5
177.0,531,293,0,0,25,29,3,0,0,5
178.0,534,293,0,0,26,29,3,0,0,5
179.0,537,301,0,0,26,29,3,0,0,5
180.0,540,301,0,0,26,29,3,0,0,5
181.0,543,301,0,0,26,29,3,0,0,5
182.0,546,301,0,0,26,29,3,0,0,5
183.0,549,301,0,0,26,30,3,0,0,5
184.0,552,304,0,0,26,30,3,0,0,5
185.0,555,304,0,0,26,31,3,0,0,5
186.0,558,307,0,0,26,32,3,0,0,5
187.0,561,310,0,0,26,32,3,0,0,5
188.0,564,310,0,0,26,32,3,0,0,5
189.0,567,310,0,0,26,32,3,0,0,5
190.0,570,310,0,0,26,32,3,0,0,5
191.0,573,310,0,0,26,32,3,0,0,5
192.0,576,310,0,0,26,32,3,0,0,5
193.0,579,310,0,0,26,32,3,0,0,5
194.0,582,310,0,0,26,33,3,0,0,5
195.0,585,313,0,0,26,33,3,0,0,5
196.0,588,313,0,0,26,33,3,0,0,5
197.0,591,313,0,0,26,33,3,0,0,5
198.0,594,313,0,0,27,33,3,0,0,5
199.0,597,321,0,0,27,33,3,0,0,5
200.0,600,321,0,0,28,33,3,0,0,5
201.0,603,329,0,0,28,33,3,0,0,5
202.0,606,329,0,0,28,33,3,0,0,5
203.0,609,329,0,0,29,33,3,0,0,5
204.0,612,337,0,0,29,33,3,0,0,5
