No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,setting
1.0,3,0,0,0,0,0,0,0,0,3
2.0,6,0,0,0,1,0,0,0,0,3
3.0,9,8,0,0,1,0,0,0,0,3
4.0,12,8,0,0,1,0,0,0,0,3
5.0,15,8,0,0,2,0,0,0,0,3
6.0,18,16,0,0,2,0,0,0,0,3
7.0,21,16,0,0,2,0,0,0,0,3
8.0,24,16,0,0,2,0,0,0,0,3
9.0,25,16,1,0,2,0,0,0,0,3
10.0,44,128,1,0,2,0,0,0,0,3
11.0,47,128,1,0,2,0,0,0,0,3
12.0,50,128,1,0,2,0,0,0,0,3
13.0,53,128,1,0,2,0,0,0,0,3
14.0,56,128,1,0,2,0,1,0,0,3
15.0,59,130,1,0,2,0,1,0,0,3
16.0,62,130,1,0,2,0,1,0,0,3
17.0,65,130,1,0,2,0,1,0,0,3
18.0,68,130,1,0,2,0,1,0,0,3
19.0,71,130,1,0,2,0,1,0,0,3
20.0,74,130,1,0,2,0,1,0,0,3
21.0,77,130,1,0,2,1,1,0,0,3
22.0,80,133,1,0,2,1,1,0,0,3
23.0,83,133,1,0,2,1,1,0,0,3
24.0,86,133,1,0,3,1,1,0,0,3
25.0,89,141,1,0,3,1,1,0,0,3
26.0,92,141,1,0,3,1,1,0,0,3
27.0,95,141,1,0,4,1,1,0,0,3
28.0,98,149,1,0,4,1,1,0,0,3
29.0,101,149,1,0,4,1,1,0,0,3
30.0,104,149,1,0,4,1,1,0,0,3
31.0,107,149,1,0,4,1,1,0,0,3
32.0,110,149,1,0,4,1,1,0,0,3
33.0,113,149,1,0,4,2,1,0,0,3
34.0,116,152,1,0,4,3,1,0,0,3
35.0,119,155,1,0,4,3,1,0,0,3
36.0,122,155,1,0,4,3,1,0,0,3
37.0,125,155,1,0,4,3,1,0,0,3
38.0,128,155,1,0,4,3,1,0,0,3
39.0,131,155,1,0,4,3,1,0,0,3
40.0,134,155,1,0,4,4,1,0,0,3
41.0,137,158,1,0,4,4,1,0,0,3
42.0,140,158,1,0,4,4,1,0,0,3
43.0,143,158,1,0,4,4,1,0,0,3
44.0,146,158,1,0,4,5,1,0,0,3
45.0,149,161,1,0,4,5,1,0,0,3
46.0,152,161,1,0,4,5,1,0,0,3
47.0,155,161,1,0,4,5,1,0,0,3
48.0,158,161,1,0,4,5,1,0,0,3
49.0,161,161,1,0,4,5,1,0,0,3
50.0,164,161,1,0,4,5,1,0,0,3
51.0,167,161,1,0,4,5,1,0,0,3
52.0,170,161,1,0,5,5,1,0,0,3
53.0,173,169,1,0,5,5,1,0,0,3
54.0,176,169,1,0,5,5,1,0,0,3
55.0,179,169,1,0,5,5,1,0,0,3
56.0,182,169,1,0,5,5,1,0,0,3
57.0,185,169,1,0,5,5,1,0,0,3
58.0,188,169,1,0,5,5,1,0,0,3
59.0,191,169,1,0,5,5,1,0,0,3
60.0,194,169,1,0,5,5,1,0,0,3
61.0,197,169,1,0,5,5,1,0,0,3
62.0,200,169,1,0,5,5,1,0,0,3
63.0,203,169,1,0,5,6,1,0,0,3
64.0,206,172,1,0,5,6,1,0,0,3
65.0,209,172,1,0,5,6,1,0,0,3
66.0,212,172,1,0,5,6,1,0,0,3
67.0,215,172,1,0,5,7,1,0,0,3
68.0,218,175,1,0,5,7,1,0,0,3
69.0,221,175,1,0,5,7,1,0,0,3
70.0,224,175,1,0,5,7,1,0,0,3
71.0,227,175,1,0,6,7,1,0,0,3
72.0,230,183,1,0,6,7,2,0,0,3
73.0,233,185,1,0,7,7,2,0,0,3
74.0,236,193,1,0,7,8,2,0,0,3
75.0,239,196,1,0,7,8,2,0,0,3
76.0,242,196,1,0,7,8,2,0,0,3
77.0,245,196,1,0,7,8,2,0,0,3
78.0,248,196,1,0,8,8,2,0,0,3
79.0,251,204,1,0,8,8,2,0,0,3
80.0,254,204,1,0,8,8,2,0,0,3
81.0,257,204,1,0,8,8,2,0,0,3
82.0,260,204,1,0,8,8,2,0,0,3
83.0,263,204,1,0,8,8,2,0,0,3
84.0,266,204,1,0,8,8,2,0,0,3
85.0,269,204,1,0,8,8,2,0,0,3
86.0,272,204,1,0,9,8,2,0,0,3
87.0,275,212,1,0,9,9,2,0,0,3
88.0,278,215,1,0,9,9,2,0,0,3
89.0,281,215,1,0,10,9,2,0,0,3
90.0,284,223,1,0,10,10,2,0,0,3
91.0,287,226,1,0,10,10,2,0,0,3
92.0,290,226,1,0,10,11,2,0,0,3
93.0,293,229,1,0,10,11,2,0,0,3
94.0,296,229,1,0,10,12,2,0,0,3
95.0,299,232,1,0,10,12,2,0,0,3
96.0,302,232,1,0,10,12,2,0,0,3
97.0,305,232,1,0,10,12,2,0,0,3
98.0,308,232,1,0,10,13,2,0,0,3
99.0,311,235,1,0,10,13,2,0,0,3
100.0,314,235,1,0,10,13,2,0,0,3
101.0,317,235,1,0,10,13,2,0,0,3
102.0,320,235,1,0,10,13,2,0,0,3
103.0,323,235,1,0,10,13,2,0,0,3
104.0,326,235,1,0,10,13,2,0,0,3
105.0,329,235,1,0,10,14,2,0,0,3
106.0,332,238,1,0,11,14,2,0,0,3
107.0,335,246,1,0,11,14,2,0,0,3
108.0,338,246,1,0,11,14,2,0,0,3
109.0,341,246,1,0,11,15,2,0,0,3
110.0,344,249,1,0,11,15,2,0,0,3
111.0,347,249,1,0,11,15,2,0,0,3
112.0,350,249,1,0,11,15,2,0,0,3
113.0,353,249,1,0,11,16,2,0,0,3
114.0,356,252,1,0,11,17,2,0,0,3
115.0,359,255,1,0,11,17,2,0,0,3
116.0,362,255,1,0,12,17,2,0,0,3
117.0,365,263,1,0,12,17,2,0,0,3
118.0,368,263,1,0,12,17,2,0,0,3
119.0,371,263,1,0,12,17,2,0,0,3
120.0,374,263,1,0,12,18,2,0,0,3
121.0,377,266,1,0,12,18,2,0,0,3
122.0,380,266,1,0,12,19,2,0,0,3
123.0,383,269,1,0,12,19,2,0,0,3
124.0,386,269,1,0,12,19,2,0,0,3
125.0,389,269,1,0,12,20,2,0,0,3
126.0,392,272,1,0,12,20,3,0,0,3
127.0,395,274,1,0,13,20,3,0,0,3
128.0,398,282,1,0,13,21,3,0,0,3
129.0,401,285,1,0,13,21,3,0,0,3
130.0,404,285,1,0,14,21,3,0,0,3
131.0,407,293,1,0,15,21,3,0,0,3
132.0,410,301,1,0,15,22,3,0,0,3
133.0,413,304,1,0,15,22,3,0,0,3
134.0,416,304,1,0,16,22,3,0,0,3
135.0,419,312,1,0,16,22,3,0,0,3
136.0,422,312,1,0,16,22,3,0,0,3
137.0,425,312,1,0,17,22,3,0,0,3
138.0,428,320,1,0,17,22,3,0,0,3
139.0,431,320,1,0,17,23,3,0,0,3
140.0,434,323,1,0,18,23,3,0,0,3
141.0,437,331,1,0,18,24,3,0,0,3
142.0,440,334,1,0,18,25,3,0,0,3
143.0,443,337,1,0,18,25,3,0,0,3
144.0,446,337,1,0,18,25,3,0,0,3
145.0,449,337,1,0,19,25,3,0,0,3
146.0,452,345,1,0,19,25,3,0,0,3
147.0,455,345,1,0,19,25,3,0,0,3
148.0,458,345,1,0,19,26,3,0,0,3
149.0,461,348,1,0,19,27,3,0,0,3
150.0,464,351,1,0,19,27,3,0,0,3
151.0,467,351,1,0,19,27,4,0,0,3
152.0,470,353,1,0,19,27,4,0,0,3
153.0,473,353,1,0,19,27,4,0,0,3
154.0,474,353,1,1,19,27,4,0,0,3
155.0,519,647,1,1,20,27,4,0,0,3
156.0,522,655,1,1,20,27,4,0,0,3
157.0,525,655,1,1,20,27,4,0,0,3
158.0,528,655,1,1,21,27,4,0,0,3
159.0,531,663,1,1,21,27,4,0,0,3
160.0,534,663,1,1,21,27,4,0,0,3
161.0,537,663,1,1,21,28,4,0,0,3
162.0,540,666,1,1,21,28,4,0,0,3
163.0,543,666,1,1,21,29,4,0,0,3
164.0,546,669,1,1,21,29,4,0,0,3
165.0,549,669,1,1,21,29,4,0,0,3
166.0,552,669,1,1,22,29,4,0,0,3
167.0,555,677,1,1,23,29,4,0,0,3
168.0,556,685,1,1,23,29,4,0,0,3
169.0,557,685,2,1,23,29,4,0,0,3
170.0,576,797,2,1,23,29,4,0,0,3
171.0,579,797,2,1,23,30,4,0,0,3
172.0,582,800,2,1,23,30,4,0,0,3
173.0,585,800,2,1,23,31,4,0,0,3
174.0,588,803,2,1,23,31,4,0,0,3
175.0,591,803,2,1,23,31,4,0,0,3
176.0,594,803,2,1,23,32,4,0,0,3
177.0,597,806,2,1,23,32,4,0,0,3
178.0,600,806,2,1,23,32,4,0,0,3
179.0,603,806,2,1,23,32,4,0,0,3
180.0,606,806,2,1,23,32,4,0,0,3
181.0,609,806,2,1,24,32,4,0,0,3
182.0,612,814,2,1,25,32,4,0,0,3
183.0,615,822,2,1,25,32,4,0,0,3
184.0,618,822,2,1,25,32,4,0,0,3
185.0,621,822,2,1,25,32,4,0,0,3
186.0,624,822,2,1,25,32,5,0,0,3
187.0,627,824,2,1,25,32,5,0,0,3
188.0,628,824,3,1,25,32,5,0,0,3
189.0,647,944,3,1,25,32,5,0,0,3
190.0,650,944,3,1,25,32,5,0,0,3
191.0,653,944,3,1,25,32,5,0,0,3
192.0,656,944,3,1,25,32,5,0,0,3
193.0,659,944,3,1,25,32,5,0,0,3
194.0,662,944,3,1,25,32,5,0,0,3
195.0,665,944,3,1,25,32,5,0,0,3
196.0,668,944,3,1,25,33,5,0,0,3
197.0,671,947,3,1,25,33,5,0,0,3
198.0,674,947,3,1,25,33,5,0,0,3
199.0,677,947,3,1,25,33,5,0,0,3
200.0,680,947,3,1,25,33,5,0,0,3
201.0,683,947,3,1,25,33,5,0,0,3
202.0,686,947,3,1,25,34,5,0,0,3
203.0,689,950,3,1,25,34,5,0,0,3
204.0,692,950,3,1,25,34,5,0,0,3
205.0,695,950,3,1,25,34,5,0,0,3
206.0,698,950,3,1,25,34,5,0,0,3
207.0,701,950,3,1,25,34,5,0,0,3
208.0,704,950,3,1,26,34,5,0,0,3
209.0,707,958,3,1,26,34,5,0,0,3
210.0,708,958,3,2,26,34,5,0,0,3
211.0,753,1252,3,2,26,35,5,0,0,3
212.0,756,1255,3,2,26,35,5,0,0,3
213.0,759,1255,3,2,26,36,5,0,0,3
214.0,762,1258,3,2,26,36,5,0,0,3
215.0,765,1258,3,2,26,36,5,0,0,3
216.0,768,1258,3,2,27,36,5,0,0,3
217.0,771,1266,3,2,28,36,5,0,0,3
218.0,774,1274,3,2,28,36,5,0,0,3
219.0,777,1274,3,2,29,36,5,0,0,3
220.0,780,1282,3,2,29,37,5,0,0,3
221.0,783,1285,3,2,29,37,5,0,0,3
222.0,786,1285,3,2,29,37,5,0,0,3
223.0,789,1285,3,2,29,37,5,0,0,3
224.0,792,1285,3,2,29,37,5,0,0,3
225.0,795,1285,3,2,29,38,5,0,0,3
226.0,798,1288,3,2,30,38,5,0,0,3
227.0,801,1296,3,2,31,38,5,0,0,3
228.0,804,1304,3,2,31,38,5,0,0,3
229.0,807,1304,3,2,31,38,5,0,0,3
230.0,810,1304,3,2,31,39,5,0,0,3
231.0,813,1307,3,2,32,39,5,0,0,3
232.0,816,1315,3,2,32,39,5,0,0,3
233.0,819,1315,3,2,32,40,5,0,0,3
234.0,822,1318,3,2,32,40,5,0,0,3
235.0,825,1318,3,2,32,41,5,0,0,3
236.0,828,1321,3,2,32,42,5,0,0,3
237.0,831,1324,3,2,32,43,5,0,0,3
238.0,834,1327,3,2,32,43,5,0,0,3
239.0,837,1327,3,2,32,43,5,0,0,3
240.0,840,1327,3,2,32,44,5,0,0,3
241.0,843,1330,3,2,32,44,5,0,0,3
242.0,846,1330,3,2,33,44,5,0,0,3
243.0,849,1338,3,2,34,44,5,0,0,3
244.0,852,1346,3,2,34,44,5,0,0,3
245.0,855,1346,3,2,34,44,5,0,0,3
246.0,858,1346,3,2,34,44,5,0,0,3
247.0,861,1346,3,2,35,44,5,0,0,3
248.0,864,1354,3,2,35,44,5,0,0,3
249.0,867,1354,3,2,35,44,5,0,0,3
250.0,870,1354,3,2,35,44,5,0,0,3
251.0,873,1354,3,2,35,45,5,0,0,3
252.0,876,1357,3,2,35,45,5,0,0,3
253.0,879,1357,3,2,35,45,5,0,0,3
254.0,882,1357,3,2,36,45,5,0,0,3
255.0,885,1365,3,2,36,45,5,0,0,3
256.0,888,1365,3,2,36,45,5,0,0,3
257.0,891,1365,3,2,36,45,6,0,0,3
258.0,894,1367,3,2,36,46,6,0,0,3
259.0,897,1370,3,2,36,46,6,0,0,3
260.0,900,1370,3,2,37,46,6,0,0,3
261.0,903,1378,3,2,37,47,6,0,0,3
262.0,906,1381,3,2,37,47,6,0,0,3
263.0,909,1381,3,2,37,47,6,0,0,3
264.0,912,1381,3,2,38,47,6,0,0,3
265.0,915,1389,3,2,38,47,6,0,0,3
266.0,918,1389,3,2,38,47,6,0,0,3
267.0,921,1389,3,2,38,47,6,0,0,3
268.0,924,1389,3,2,38,47,6,0,0,3
269.0,927,1389,3,2,38,47,6,0,0,3
270.0,930,1389,3,2,38,47,6,0,0,3
271.0,933,1389,3,2,38,47,6,0,0,3
272.0,936,1389,3,2,38,47,6,0,0,3
273.0,939,1389,3,2,38,48,6,0,0,3
274.0,942,1392,3,2,38,48,6,0,0,3
275.0,945,1392,3,2,38,49,6,0,0,3
276.0,948,1395,3,2,38,49,6,0,0,3
277.0,951,1395,3,2,38,50,6,0,0,3
278.0,954,1398,3,2,38,51,6,0,0,3
279.0,957,1401,3,2,38,51,6,0,0,3
280.0,960,1401,3,2,38,51,6,0,0,3
281.0,963,1401,3,2,38,51,6,0,0,3
282.0,966,1401,3,2,39,51,6,0,0,3
283.0,969,1409,3,2,39,51,6,0,0,3
284.0,972,1409,3,2,39,51,6,0,0,3
285.0,975,1409,3,2,39,51,6,0,0,3
286.0,976,1409,3,3,39,51,6,0,0,3
287.0,1021,1703,3,3,39,51,6,0,0,3
288.0,1024,1703,3,3,40,51,6,0,0,3
289.0,1027,1711,3,3,41,51,6,0,0,3
290.0,1030,1719,3,3,41,52,6,0,0,3
291.0,1033,1722,3,3,41,53,6,0,0,3
292.0,1036,1725,3,3,42,53,6,0,0,3
293.0,1039,1733,3,3,42,53,6,0,0,3
294.0,1042,1733,3,3,43,53,6,0,0,3
295.0,1045,1741,3,3,44,53,6,0,0,3
296.0,1048,1749,3,3,45,53,6,0,0,3
297.0,1051,1757,3,3,45,53,6,0,0,3
298.0,1054,1757,3,3,45,53,6,0,0,3
299.0,1057,1757,3,3,46,53,6,0,0,3
300.0,1060,1765,3,3,46,53,6,0,0,3
301.0,1063,1765,3,3,46,53,6,0,0,3
302.0,1066,1765,3,3,46,53,6,0,0,3
303.0,1069,1765,3,3,47,53,6,0,0,3
304.0,1072,1773,3,3,47,54,6,0,0,3
305.0,1075,1776,3,3,47,54,7,0,0,3
306.0,1078,1778,3,3,47,54,7,0,0,3
307.0,1081,1778,3,3,47,54,7,0,0,3
308.0,1084,1778,3,3,47,54,7,0,0,3
309.0,1087,1778,3,3,47,54,7,0,0,3
310.0,1090,1778,3,3,47,54,7,0,0,3
311.0,1093,1778,3,3,47,54,7,0,0,3
312.0,1096,1778,3,3,47,55,7,0,0,3
313.0,1099,1781,3,3,47,56,7,0,0,3
314.0,1102,1784,3,3,47,57,7,0,0,3
315.0,1105,1787,3,3,47,57,7,0,0,3
316.0,1108,1787,3,3,47,57,7,0,0,3
317.0,1111,1787,3,3,48,57,7,0,0,3
318.0,1114,1795,3,3,48,57,7,0,0,3
319.0,1117,1795,3,3,48,57,7,0,0,3
320.0,1120,1795,3,3,48,57,7,0,0,3
321.0,1123,1795,3,3,48,58,7,0,0,3
322.0,1126,1798,3,3,48,58,7,0,0,3
323.0,1129,1798,3,3,48,58,7,0,0,3
324.0,1132,1798,3,3,48,58,7,0,0,3
325.0,1135,1798,3,3,49,58,7,0,0,3
326.0,1138,1806,3,3,50,58,7,0,0,3
327.0,1141,1814,3,3,50,59,7,0,0,3
328.0,1144,1817,3,3,50,59,7,0,0,3
329.0,1147,1817,3,3,50,59,7,0,0,3
330.0,1150,1817,3,3,50,59,7,0,0,3
331.0,1153,1817,3,3,50,59,7,0,0,3
332.0,1156,1817,3,3,50,59,7,0,0,3
333.0,1159,1817,3,3,50,59,7,0,0,3
334.0,1162,1817,3,3,50,59,7,0,0,3
335.0,1165,1817,3,3,50,60,7,0,0,3
336.0,1168,1820,3,3,50,61,7,0,0,3
337.0,1171,1823,3,3,50,61,7,0,0,3
338.0,1174,1823,3,3,50,61,7,0,0,3
339.0,1177,1823,3,3,50,61,7,0,0,3
340.0,1180,1823,3,3,51,61,7,0,0,3
341.0,1183,1831,3,3,51,62,7,0,0,3
342.0,1186,1834,3,3,51,62,7,0,0,3
343.0,1189,1834,3,3,51,62,7,0,0,3
344.0,1192,1834,3,3,51,63,7,0,0,3
345.0,1195,1837,3,3,51,64,7,0,0,3
346.0,1198,1840,3,3,51,64,7,0,0,3
347.0,1201,1840,3,3,51,64,7,0,0,3
348.0,1204,1840,3,3,52,64,7,0,0,3
349.0,1207,1848,3,3,52,64,7,0,0,3
350.0,1210,1848,3,3,52,64,7,0,0,3
351.0,1213,1848,3,3,52,65,7,0,0,3
352.0,1216,1851,3,3,53,65,7,0,0,3
353.0,1219,1859,3,3,53,65,7,0,0,3
354.0,1222,1859,3,3,53,65,7,0,0,3
355.0,1225,1859,3,3,54,65,7,0,0,3
356.0,1228,1867,3,3,54,66,7,0,0,3
357.0,1231,1870,3,3,54,66,7,0,0,3
358.0,1234,1870,3,3,54,66,7,0,0,3
359.0,1237,1870,3,3,54,66,7,0,0,3
360.0,1240,1870,3,3,54,66,7,0,0,3
361.0,1243,1870,3,3,55,66,7,0,0,3
362.0,1246,1878,3,3,56,66,7,0,0,3
363.0,1249,1886,3,3,56,66,7,0,0,3
364.0,1252,1886,3,3,56,66,7,0,0,3
365.0,1255,1886,3,3,56,66,7,0,0,3
366.0,1258,1886,3,3,56,66,7,0,0,3
367.0,1261,1886,3,3,56,66,7,0,0,3
368.0,1264,1886,3,3,56,67,7,0,0,3
369.0,1267,1889,3,3,56,68,7,0,0,3
370.0,1270,1892,3,3,56,68,7,0,0,3
371.0,1273,1892,3,3,57,68,7,0,0,3
372.0,1276,1900,3,3,58,68,7,0,0,3
373.0,1279,1908,3,3,58,69,7,0,0,3
374.0,1282,1911,3,3,59,69,7,0,0,3
375.0,1285,1919,3,3,59,69,7,0,0,3
376.0,1288,1919,3,3,59,69,7,0,0,3
377.0,1291,1919,3,3,59,69,7,0,0,3
378.0,1294,1919,3,3,59,69,7,0,0,3
379.0,1297,1919,3,3,59,70,7,0,0,3
380.0,1300,1922,3,3,59,70,7,0,0,3
381.0,1303,1922,3,3,59,70,7,0,0,3
382.0,1306,1922,3,3,59,71,7,0,0,3
383.0,1309,1925,3,3,59,72,7,0,0,3
384.0,1312,1928,3,3,59,72,7,0,0,3
385.0,1315,1928,3,3,59,73,7,0,0,3
386.0,1318,1931,3,3,59,73,7,0,0,3
387.0,1321,1931,3,3,59,73,7,0,0,3
388.0,1324,1931,3,3,59,73,7,0,0,3
389.0,1327,1931,3,3,59,73,7,0,0,3
