No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,setting
1.0,3,0,0,0,0,1,0,0,0,3
2.0,6,3,0,0,0,1,0,0,0,3
3.0,9,3,0,0,0,2,0,0,0,3
4.0,12,6,0,0,0,2,0,0,0,3
5.0,15,6,0,0,0,2,0,0,0,3
6.0,18,6,0,0,0,3,0,0,0,3
7.0,21,9,0,0,0,3,0,0,0,3
8.0,24,9,0,0,0,3,0,0,0,3
9.0,27,9,0,0,0,3,0,0,0,3
10.0,30,9,0,0,1,3,0,0,0,3
11.0,33,17,0,0,1,3,1,0,0,3
12.0,36,19,0,0,1,3,1,0,0,3
13.0,39,19,0,0,1,4,1,0,0,3
14.0,42,22,0,0,1,4,2,0,0,3
15.0,45,24,0,0,1,5,2,0,0,3
16.0,48,27,0,0,1,5,2,0,0,3
17.0,51,27,0,0,1,6,2,0,0,3
18.0,54,30,0,0,1,6,2,0,0,3
19.0,57,30,0,0,2,6,2,0,0,3
20.0,60,38,0,0,2,6,2,0,0,3
21.0,63,38,0,0,3,6,2,0,0,3
22.0,66,46,0,0,3,6,2,0,0,3
23.0,69,46,0,0,4,6,2,0,0,3
24.0,72,54,0,0,4,6,2,0,0,3
25.0,75,54,0,0,4,6,2,0,0,3
26.0,78,54,0,0,4,7,2,0,0,3
27.0,81,57,0,0,4,8,2,0,0,3
28.0,84,60,0,0,5,8,2,0,0,3
29.0,87,68,0,0,5,8,2,0,0,3
30.0,90,68,0,0,5,8,2,0,0,3
31.0,93,68,0,0,6,8,2,0,0,3
32.0,96,76,0,0,6,9,2,0,0,3
33.0,99,79,0,0,6,9,3,0,0,3
34.0,102,81,0,0,6,9,3,0,0,3
35.0,105,81,0,0,6,9,3,0,0,3
36.0,108,81,0,0,6,9,3,0,0,3
37.0,111,81,0,0,6,9,3,0,0,3
38.0,114,81,0,0,6,10,3,0,0,3
39.0,117,84,0,0,6,10,3,0,0,3
40.0,120,84,0,0,6,10,3,0,0,3
41.0,123,84,0,0,6,10,3,0,0,3
42.0,126,84,0,0,7,10,3,0,0,3
43.0,129,92,0,0,7,10,3,0,0,3
44.0,132,92,0,0,8,10,3,0,0,3
45.0,135,100,0,0,8,10,3,0,0,3
46.0,138,100,0,0,8,10,3,0,0,3
47.0,141,100,0,0,8,10,3,0,0,3
48.0,144,100,0,0,8,10,3,0,0,3
49.0,147,100,0,0,8,10,3,0,0,3
50.0,150,100,0,0,8,10,3,0,0,3
51.0,153,100,0,0,8,10,3,0,0,3
52.0,156,100,0,0,8,10,3,0,0,3
53.0,159,100,0,0,8,10,3,0,0,3
54.0,162,100,0,0,8,10,3,0,0,3
55.0,165,100,0,0,8,10,3,0,0,3
56.0,168,100,0,0,8,11,3,0,0,3
57.0,171,103,0,0,8,11,3,0,0,3
58.0,174,103,0,0,8,11,3,0,0,3
59.0,177,103,0,0,8,11,4,0,0,3
60.0,180,105,0,0,8,11,4,0,0,3
61.0,183,105,0,0,8,11,4,0,0,3
62.0,186,105,0,0,8,11,4,0,0,3
63.0,189,105,0,0,8,11,4,0,0,3
64.0,192,105,0,0,8,11,4,0,0,3
65.0,195,105,0,0,8,11,4,0,0,3
66.0,198,105,0,0,8,11,4,0,0,3
67.0,201,105,0,0,8,11,4,0,0,3
68.0,204,105,0,0,8,11,4,0,0,3
69.0,207,105,0,0,8,11,4,0,0,3
70.0,210,105,0,0,9,11,4,0,0,3
71.0,213,113,0,0,9,11,4,0,0,3
72.0,216,113,0,0,10,11,4,0,0,3
73.0,219,121,0,0,10,11,4,0,0,3
74.0,222,121,0,0,11,11,4,0,0,3
75.0,225,129,0,0,12,11,4,0,0,3
76.0,228,137,0,0,12,11,4,0,0,3
77.0,231,137,0,0,12,11,4,0,0,3
78.0,234,137,0,0,12,12,4,0,0,3
79.0,237,140,0,0,12,12,4,0,0,3
80.0,240,140,0,0,12,12,4,0,0,3
81.0,243,140,0,0,12,12,4,0,0,3
82.0,246,140,0,0,12,12,4,0,0,3
83.0,249,140,0,0,12,12,4,0,0,3
84.0,252,140,0,0,13,12,4,0,0,3
85.0,255,148,0,0,13,12,4,0,0,3
86.0,258,148,0,0,13,13,4,0,0,3
87.0,261,151,0,0,13,13,4,0,0,3
88.0,264,151,0,0,13,14,4,0,0,3
89.0,267,154,0,0,13,14,4,0,0,3
90.0,270,154,0,0,13,14,4,0,0,3
91.0,273,154,0,0,13,14,4,0,0,3
92.0,276,154,0,0,13,14,4,0,0,3
93.0,279,154,0,0,13,14,4,0,0,3
94.0,282,154,0,0,13,14,4,0,0,3
95.0,285,154,0,0,13,14,4,0,0,3
96.0,288,154,0,0,13,14,4,0,0,3
97.0,291,154,0,0,13,14,4,0,0,3
98.0,294,154,0,0,14,14,4,0,0,3
99.0,297,162,0,0,14,15,4,0,0,3
100.0,300,165,0,0,14,15,4,0,0,3
101.0,303,165,0,0,14,16,4,0,0,3
102.0,306,168,0,0,15,16,4,0,0,3
103.0,309,176,0,0,15,17,4,0,0,3
104.0,312,179,0,0,16,17,4,0,0,3
105.0,315,187,0,0,16,17,4,0,0,3
106.0,318,187,0,0,16,17,4,0,0,3
107.0,321,187,0,0,16,17,4,0,0,3
108.0,324,187,0,0,16,17,4,0,0,3
109.0,327,187,0,0,16,17,5,0,0,3
110.0,330,189,0,0,16,17,5,0,0,3
111.0,333,189,0,0,16,17,5,0,0,3
112.0,336,189,0,0,17,17,5,0,0,3
113.0,339,197,0,0,17,17,5,0,0,3
114.0,342,197,0,0,18,17,5,0,0,3
115.0,345,205,0,0,18,17,5,0,0,3
116.0,348,205,0,0,18,18,5,0,0,3
117.0,351,208,0,0,18,18,5,0,0,3
118.0,354,208,0,0,18,18,5,0,0,3
119.0,357,208,0,0,19,18,5,0,0,3
120.0,360,216,0,0,19,18,5,0,0,3
121.0,363,216,0,0,19,18,5,0,0,3
122.0,366,216,0,0,19,18,5,0,0,3
123.0,369,216,0,0,19,19,5,0,0,3
124.0,372,219,0,0,19,19,5,0,0,3
125.0,375,219,0,0,19,19,5,0,0,3
126.0,378,219,0,0,19,20,5,0,0,3
127.0,381,222,0,0,19,20,5,0,0,3
128.0,384,222,0,0,19,20,5,0,0,3
129.0,387,222,0,0,19,20,5,0,0,3
130.0,390,222,0,0,19,20,5,0,0,3
131.0,393,222,0,0,19,20,5,0,0,3
132.0,396,222,0,0,19,21,5,0,0,3
133.0,399,225,0,0,19,22,5,0,0,3
134.0,402,228,0,0,19,22,5,0,0,3
135.0,405,228,0,0,19,22,5,0,0,3
136.0,408,228,0,0,19,22,5,0,0,3
137.0,411,228,0,0,19,23,5,0,0,3
138.0,414,231,0,0,19,23,5,0,0,3
139.0,417,231,0,0,19,23,5,0,0,3
140.0,420,231,0,0,19,23,5,0,0,3
141.0,423,231,0,0,19,23,5,0,0,3
142.0,426,231,0,0,19,23,5,0,0,3
143.0,429,231,0,0,19,24,5,0,0,3
144.0,432,234,0,0,19,25,5,0,0,3
145.0,435,237,0,0,19,25,5,0,0,3
146.0,438,237,0,0,19,26,5,0,0,3
147.0,441,240,0,0,19,26,5,0,0,3
148.0,444,240,0,0,19,26,5,0,0,3
149.0,447,240,0,0,19,26,5,0,0,3
150.0,450,240,0,0,19,26,5,0,0,3
151.0,453,240,0,0,20,26,5,0,0,3
152.0,456,248,0,0,20,27,5,0,0,3
