No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,setting
1.0,3,0,0,0,0,0,0,0,0,3
2.0,6,0,0,0,0,0,1,0,0,3
3.0,9,2,0,0,0,0,1,0,0,3
4.0,12,2,0,0,0,0,1,0,0,3
5.0,15,2,0,0,0,0,1,0,0,3
6.0,18,2,0,0,0,0,1,0,0,3
7.0,21,2,0,0,0,0,1,0,0,3
8.0,24,2,0,0,0,0,1,0,0,3
9.0,27,2,0,0,0,0,1,0,0,3
10.0,30,2,0,0,0,1,1,0,0,3
11.0,33,5,0,0,0,1,1,0,0,3
12.0,36,5,0,0,0,2,1,0,0,3
13.0,39,8,0,0,1,2,1,0,0,3
14.0,42,16,0,0,1,2,1,0,0,3
15.0,45,16,0,0,1,2,1,0,0,3
16.0,48,16,0,0,1,2,1,0,0,3
17.0,51,16,0,0,1,3,1,0,0,3
18.0,54,19,0,0,1,3,1,0,0,3
19.0,57,19,0,0,2,3,1,0,0,3
20.0,60,27,0,0,2,3,1,0,0,3
21.0,63,27,0,0,2,3,1,0,0,3
22.0,66,27,0,0,2,3,1,0,0,3
23.0,69,27,0,0,2,3,1,0,0,3
24.0,72,27,0,0,2,3,1,0,0,3
25.0,75,27,0,0,2,3,1,0,0,3
26.0,78,27,0,0,2,4,1,0,0,3
27.0,81,30,0,0,3,4,1,0,0,3
28.0,84,38,0,0,3,4,1,0,0,3
29.0,87,38,0,0,3,4,1,0,0,3
30.0,90,38,0,0,4,4,1,0,0,3
31.0,93,46,0,0,4,4,1,0,0,3
32.0,96,46,0,0,5,4,1,0,0,3
33.0,99,54,0,0,5,5,1,0,0,3
34.0,102,57,0,0,5,5,1,0,0,3
35.0,105,57,0,0,5,5,1,0,0,3
36.0,108,57,0,0,5,5,1,0,0,3
37.0,111,57,0,0,6,5,1,0,0,3
38.0,114,65,0,0,6,5,1,0,0,3
39.0,117,65,0,0,6,6,1,0,0,3
40.0,120,68,0,0,6,6,1,0,0,3
41.0,123,68,0,0,6,6,1,0,0,3
42.0,126,68,0,0,6,6,1,0,0,3
43.0,129,68,0,0,6,6,1,0,0,3
44.0,132,68,0,0,6,6,2,0,0,3
45.0,135,70,0,0,6,6,2,0,0,3
46.0,138,70,0,0,7,6,2,0,0,3
47.0,141,78,0,0,8,6,2,0,0,3
48.0,144,86,0,0,8,6,2,0,0,3
49.0,147,86,0,0,8,6,2,0,0,3
50.0,150,86,0,0,8,6,2,0,0,3
51.0,153,86,0,0,8,6,2,0,0,3
52.0,156,86,0,0,8,6,2,0,0,3
53.0,159,86,0,0,8,6,2,0,0,3
54.0,162,86,0,0,8,6,2,0,0,3
55.0,165,86,0,0,8,6,2,0,0,3
56.0,168,86,0,0,8,6,2,0,0,3
57.0,171,86,0,0,9,6,2,0,0,3
58.0,174,94,0,0,10,6,2,0,0,3
59.0,177,102,0,0,10,7,2,0,0,3
60.0,180,105,0,0,10,7,2,0,0,3
61.0,183,105,0,0,10,7,2,0,0,3
62.0,186,105,0,0,10,7,2,0,0,3
63.0,189,105,0,0,10,7,2,0,0,3
64.0,192,105,0,0,10,7,2,0,0,3
65.0,195,105,0,0,10,7,2,0,0,3
66.0,198,105,0,0,10,8,2,0,0,3
67.0,201,108,0,0,10,8,2,0,0,3
68.0,204,108,0,0,10,8,2,0,0,3
69.0,207,108,0,0,10,8,2,0,0,3
70.0,210,108,0,0,10,8,2,0,0,3
71.0,213,108,0,0,10,8,2,0,0,3
72.0,216,108,0,0,10,8,3,0,0,3
73.0,219,110,0,0,10,8,3,0,0,3
74.0,222,110,0,0,10,8,3,0,0,3
75.0,225,110,0,0,10,8,3,0,0,3
76.0,228,110,0,0,10,8,3,0,0,3
77.0,231,110,0,0,10,8,3,0,0,3
78.0,234,110,0,0,10,8,3,0,0,3
79.0,237,110,0,0,10,8,3,0,0,3
80.0,240,110,0,0,10,8,3,0,0,3
81.0,243,110,0,0,10,8,3,0,0,3
82.0,246,110,0,0,10,8,3,0,0,3
83.0,249,110,0,0,11,8,3,0,0,3
84.0,252,118,0,0,12,8,3,0,0,3
85.0,255,126,0,0,12,8,4,0,0,3
86.0,258,128,0,0,13,8,4,0,0,3
87.0,261,136,0,0,13,9,4,0,0,3
88.0,264,139,0,0,13,9,4,0,0,3
89.0,267,139,0,0,14,9,4,0,0,3
90.0,270,147,0,0,14,9,4,0,0,3
91.0,273,147,0,0,14,9,4,0,0,3
92.0,276,147,0,0,14,9,4,0,0,3
93.0,279,147,0,0,14,10,4,0,0,3
94.0,282,150,0,0,15,10,4,0,0,3
95.0,285,158,0,0,15,10,4,0,0,3
96.0,288,158,0,0,15,10,4,0,0,3
97.0,291,158,0,0,15,10,4,0,0,3
98.0,294,158,0,0,15,11,4,0,0,3
99.0,297,161,0,0,15,11,4,0,0,3
100.0,300,161,1,0,15,11,4,0,0,3
101.0,319,273,1,0,15,11,5,0,0,3
102.0,322,275,1,0,15,11,5,0,0,3
103.0,325,275,2,0,15,11,5,0,0,3
104.0,344,387,2,0,15,11,5,0,0,3
105.0,347,387,2,0,15,11,5,0,0,3
106.0,350,387,2,0,15,11,5,0,0,3
107.0,353,387,2,0,15,11,5,0,0,3
108.0,356,387,2,0,15,11,5,0,0,3
109.0,359,387,2,0,15,11,5,0,0,3
110.0,362,387,2,0,15,12,5,0,0,3
111.0,365,390,2,0,16,12,5,0,0,3
112.0,368,398,2,0,16,12,5,0,0,3
113.0,371,398,2,0,16,12,5,0,0,3
114.0,374,398,2,0,16,12,5,0,0,3
115.0,377,398,2,0,16,13,5,0,0,3
116.0,380,401,2,0,17,13,5,0,0,3
117.0,383,409,2,0,17,13,5,0,0,3
118.0,386,409,2,0,17,14,5,0,0,3
119.0,389,412,2,0,18,14,5,0,0,3
120.0,392,420,2,0,19,14,5,0,0,3
121.0,395,428,2,0,20,14,5,0,0,3
122.0,398,436,2,0,20,14,5,0,0,3
123.0,401,436,2,0,21,14,5,0,0,3
124.0,404,444,2,0,21,14,5,0,0,3
125.0,407,444,2,0,21,14,5,0,0,3
126.0,410,444,2,0,21,14,5,0,0,3
127.0,413,444,2,0,21,14,5,0,0,3
128.0,416,444,2,0,21,14,5,0,0,3
129.0,419,444,2,0,21,15,5,0,0,3
130.0,422,447,2,0,21,15,5,0,0,3
131.0,425,447,2,0,22,15,5,0,0,3
132.0,428,455,2,0,22,15,5,0,0,3
133.0,431,455,2,0,22,15,5,0,0,3
134.0,434,455,2,0,22,15,6,0,0,3
135.0,437,457,2,0,22,15,6,0,0,3
136.0,440,457,2,0,23,15,6,0,0,3
137.0,443,465,2,0,23,16,6,0,0,3
138.0,446,468,2,0,23,16,6,0,0,3
139.0,449,468,2,0,24,16,6,0,0,3
140.0,452,476,2,0,24,16,6,0,0,3
141.0,455,476,2,0,24,16,6,0,0,3
142.0,458,476,2,0,24,16,6,0,0,3
143.0,461,476,2,0,24,16,6,0,0,3
144.0,464,476,2,0,24,16,6,0,0,3
145.0,467,476,2,0,25,16,6,0,0,3
146.0,470,484,2,0,26,16,6,0,0,3
147.0,473,492,2,0,27,16,6,0,0,3
148.0,476,500,2,0,27,16,6,0,0,3
149.0,479,500,2,0,27,16,6,0,0,3
150.0,482,500,2,0,27,16,6,0,0,3
151.0,485,500,2,0,27,17,6,0,0,3
152.0,488,503,2,0,27,17,6,0,0,3
153.0,491,503,2,0,28,17,6,0,0,3
154.0,494,511,2,0,28,17,6,0,0,3
155.0,497,511,2,0,28,17,6,0,0,3
156.0,500,511,2,0,28,17,6,0,0,3
157.0,503,511,2,0,28,17,6,0,0,3
