No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,setting
1.0,3,0,0,0,0,0,0,0,0,3
2.0,6,0,0,0,0,0,0,0,0,3
3.0,9,0,0,0,0,0,0,0,0,3
4.0,12,0,0,0,0,0,0,0,0,3
5.0,15,0,0,0,0,1,0,0,0,3
6.0,18,3,0,0,0,1,0,0,0,3
7.0,21,3,0,0,0,1,0,0,0,3
8.0,24,3,0,0,0,1,0,0,0,3
9.0,27,3,0,0,0,1,0,0,0,3
10.0,30,3,0,0,0,1,0,0,0,3
11.0,33,3,0,0,0,1,0,0,0,3
12.0,36,3,0,0,0,1,0,0,0,3
13.0,39,3,0,0,1,1,0,0,0,3
14.0,42,11,0,0,1,1,0,0,0,3
15.0,45,11,0,0,1,1,0,0,0,3
16.0,48,11,0,0,1,1,0,0,0,3
17.0,51,11,0,0,1,1,0,0,0,3
18.0,54,11,0,0,1,1,0,0,0,3
19.0,57,11,0,0,1,1,0,0,0,3
20.0,60,11,0,0,2,1,0,0,0,3
21.0,63,19,0,0,2,1,0,0,0,3
22.0,66,19,0,0,2,2,0,0,0,3
23.0,69,22,0,0,2,2,0,0,0,3
24.0,72,22,0,0,3,2,0,0,0,3
25.0,75,30,0,0,3,2,0,0,0,3
26.0,78,30,0,0,4,2,0,0,0,3
27.0,81,38,0,0,4,2,0,0,0,3
28.0,84,38,0,0,4,2,0,0,0,3
29.0,87,38,0,0,4,2,0,0,0,3
30.0,90,38,0,0,4,2,0,0,0,3
31.0,93,38,0,0,4,3,0,0,0,3
32.0,96,41,0,0,4,4,0,0,0,3
33.0,99,44,0,0,4,4,0,0,0,3
34.0,102,44,0,0,4,5,0,0,0,3
35.0,105,47,0,0,4,5,0,0,0,3
36.0,108,47,0,0,4,5,0,0,0,3
37.0,111,47,0,0,4,5,0,0,0,3
38.0,114,47,0,0,4,5,0,0,0,3
39.0,117,47,0,0,4,5,0,0,0,3
40.0,120,47,0,0,4,5,0,0,0,3
41.0,123,47,0,0,5,5,0,0,0,3
42.0,126,55,0,0,5,5,0,0,0,3
43.0,129,55,0,0,5,6,0,0,0,3
44.0,132,58,0,0,5,6,0,0,0,3
45.0,135,58,0,0,5,6,0,0,0,3
46.0,138,58,0,0,5,6,0,0,0,3
47.0,141,58,0,0,5,6,0,0,0,3
48.0,144,58,0,0,5,6,1,0,0,3
49.0,147,60,0,0,5,6,1,0,0,3
50.0,150,60,0,0,5,6,1,0,0,3
51.0,153,60,0,0,5,6,1,0,0,3
52.0,156,60,0,0,5,6,1,0,0,3
53.0,159,60,0,0,5,6,1,0,0,3
54.0,162,60,0,0,5,6,1,0,0,3
55.0,165,60,0,0,5,7,1,0,0,3
56.0,168,63,0,0,6,7,1,0,0,3
57.0,171,71,0,0,6,8,1,0,0,3
58.0,174,74,0,0,6,8,1,0,0,3
59.0,177,74,0,0,6,9,1,0,0,3
60.0,180,77,0,0,6,10,1,0,0,3
61.0,183,80,0,0,6,11,1,0,0,3
62.0,186,83,0,0,6,12,1,0,0,3
63.0,189,86,0,0,6,12,1,0,0,3
64.0,192,86,0,0,6,12,1,0,0,3
65.0,195,86,0,0,6,12,1,0,0,3
66.0,198,86,0,0,6,12,1,0,0,3
67.0,201,86,0,0,6,12,1,0,0,3
68.0,204,86,0,0,6,12,1,0,0,3
69.0,207,86,0,0,7,12,1,0,0,3
70.0,210,94,0,0,7,12,1,0,0,3
71.0,213,94,0,0,7,12,1,0,0,3
72.0,216,94,0,0,7,12,1,0,0,3
73.0,219,94,0,0,7,13,1,0,0,3
74.0,222,97,0,0,7,13,1,0,0,3
75.0,225,97,0,0,7,13,1,0,0,3
76.0,228,97,0,0,7,14,1,0,0,3
77.0,231,100,0,0,7,14,1,0,0,3
78.0,234,100,0,0,8,14,1,0,0,3
79.0,237,108,0,0,8,14,1,0,0,3
80.0,240,108,0,0,8,14,1,0,0,3
81.0,243,108,0,0,8,14,1,0,0,3
82.0,246,108,0,0,8,14,1,0,0,3
83.0,249,108,0,0,8,14,1,0,0,3
84.0,252,108,0,0,8,14,1,0,0,3
85.0,255,108,0,0,8,14,1,0,0,3
86.0,258,108,0,0,8,15,1,0,0,3
87.0,261,111,0,0,8,16,1,0,0,3
88.0,264,114,0,0,9,16,1,0,0,3
89.0,267,122,0,0,9,16,1,0,0,3
90.0,270,122,0,0,9,16,1,0,0,3
91.0,273,122,0,0,9,16,1,0,0,3
92.0,276,122,0,0,9,16,1,0,0,3
93.0,279,122,0,0,9,16,1,0,0,3
94.0,282,122,0,0,9,16,2,0,0,3
95.0,285,124,0,0,9,17,2,0,0,3
96.0,288,127,0,0,9,17,2,0,0,3
97.0,291,127,0,1,9,17,2,0,0,3
98.0,336,421,0,1,9,17,2,0,0,3
99.0,339,421,0,1,9,18,2,0,0,3
100.0,342,424,0,1,9,18,2,0,0,3
101.0,345,424,1,1,9,18,2,0,0,3
102.0,364,544,1,1,9,18,2,0,0,3
