No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,setting
1.0,3,0,0,0,1,0,0,0,0,2
2.0,6,8,0,0,1,0,0,0,0,2
3.0,9,8,0,0,1,0,0,0,0,2
4.0,12,8,0,0,1,0,0,0,0,2
5.0,15,8,0,0,1,0,0,0,0,2
6.0,18,8,0,0,1,0,0,0,0,2
7.0,21,8,0,0,1,1,0,0,0,2
8.0,24,11,0,0,2,1,0,0,0,2
9.0,27,19,0,0,2,2,0,0,0,2
10.0,30,22,0,0,3,2,0,0,0,2
11.0,33,30,0,0,3,2,0,0,0,2
12.0,36,30,0,0,3,3,0,0,0,2
13.0,39,33,0,0,4,3,0,0,0,2
14.0,42,41,0,0,5,3,0,0,0,2
15.0,45,49,0,0,5,3,0,0,0,2
16.0,48,49,0,0,5,4,0,0,0,2
17.0,51,52,0,0,5,4,0,0,0,2
18.0,54,52,0,0,5,4,0,0,0,2
19.0,57,52,0,0,5,4,0,0,0,2
20.0,60,52,0,0,5,4,0,0,0,2
21.0,63,52,0,0,5,4,0,0,0,2
22.0,66,52,0,0,5,4,0,0,0,2
23.0,69,52,0,0,5,4,0,0,0,2
24.0,72,52,0,0,5,4,0,0,0,2
25.0,75,52,0,0,5,5,0,0,0,2
26.0,78,55,0,0,5,5,0,0,0,2
27.0,81,55,0,0,5,6,0,0,0,2
28.0,84,58,0,0,6,6,0,0,0,2
29.0,87,66,0,0,6,6,0,0,0,2
30.0,90,66,0,0,6,7,0,0,0,2
31.0,93,69,0,0,6,7,0,0,0,2
32.0,96,69,0,0,6,8,0,0,0,2
33.0,99,72,0,0,6,8,0,0,0,2
34.0,102,72,0,0,6,9,0,0,0,2
35.0,105,75,0,0,6,10,0,0,0,2
36.0,108,78,0,0,6,10,0,0,0,2
37.0,111,78,0,0,6,10,0,0,0,2
38.0,114,78,0,0,6,10,0,0,0,2
39.0,117,78,0,0,6,10,1,0,0,2
40.0,120,80,0,0,6,10,1,0,0,2
41.0,123,80,0,0,6,10,1,0,0,2
42.0,126,80,0,0,7,10,1,0,0,2
43.0,129,88,0,0,7,10,1,0,0,2
44.0,132,88,0,0,7,10,1,0,0,2
45.0,135,88,0,0,7,10,1,0,0,2
46.0,138,88,0,0,7,10,1,0,0,2
