No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,setting
1.0,3,0,0,0,0,0,0,0,0,5
2.0,6,0,0,0,0,0,0,0,0,5
3.0,9,0,0,0,0,1,0,0,0,5
4.0,12,3,0,0,0,1,1,0,0,5
5.0,15,5,0,0,1,1,1,0,0,5
6.0,18,13,0,0,1,1,1,0,0,5
7.0,21,13,0,0,1,1,1,0,0,5
8.0,24,13,0,0,1,1,1,0,0,5
9.0,27,13,0,0,1,2,1,0,0,5
10.0,30,16,0,0,1,3,1,0,0,5
11.0,33,19,0,0,1,4,1,0,0,5
12.0,36,22,0,0,1,5,1,0,0,5
13.0,39,25,0,0,1,5,1,0,0,5
14.0,42,25,0,0,1,6,1,0,0,5
15.0,45,28,0,0,1,6,1,0,0,5
16.0,48,28,0,0,1,6,1,0,0,5
17.0,51,28,0,0,1,6,1,0,0,5
18.0,54,28,0,0,2,6,1,0,0,5
19.0,57,36,0,0,2,6,1,0,0,5
20.0,60,36,0,0,2,6,1,0,0,5
21.0,63,36,0,0,2,6,1,0,0,5
22.0,66,36,0,0,2,6,1,0,0,5
23.0,69,36,0,0,3,6,1,0,0,5
24.0,72,44,0,0,3,6,1,0,0,5
25.0,75,44,0,0,3,7,1,0,0,5
26.0,78,47,0,0,3,7,1,0,0,5
27.0,81,47,0,0,3,7,1,0,0,5
28.0,84,47,0,0,3,7,1,0,0,5
29.0,87,47,0,0,3,7,1,0,0,5
30.0,90,47,0,0,3,7,1,0,0,5
31.0,93,47,0,0,3,7,1,0,0,5
32.0,96,47,0,0,3,7,1,0,0,5
33.0,99,47,0,0,3,7,1,0,0,5
34.0,102,47,0,0,3,7,1,0,0,5
35.0,105,47,0,0,4,7,1,0,0,5
36.0,108,55,0,0,4,8,1,0,0,5
37.0,111,58,0,0,4,8,1,0,0,5
38.0,114,58,0,0,4,8,1,0,0,5
39.0,117,58,0,0,4,8,1,0,0,5
40.0,120,58,0,0,4,8,2,0,0,5
41.0,123,60,0,0,5,8,2,0,0,5
42.0,126,68,0,0,6,8,2,0,0,5
43.0,129,76,0,0,6,8,2,0,0,5
44.0,132,76,0,0,6,8,2,0,0,5
45.0,135,76,0,0,6,9,2,0,0,5
46.0,138,79,0,0,6,10,2,0,0,5
47.0,141,82,0,0,6,10,2,0,0,5
48.0,144,82,0,0,6,10,2,0,0,5
49.0,147,82,0,0,6,11,2,0,0,5
50.0,150,85,0,0,7,11,2,0,0,5
51.0,153,93,0,0,7,12,2,0,0,5
52.0,156,96,0,0,7,12,3,0,0,5
53.0,159,98,0,0,8,12,3,0,0,5
54.0,162,106,0,0,9,12,3,0,0,5
55.0,165,114,0,0,9,12,3,0,0,5
56.0,168,114,0,0,9,12,4,0,0,5
57.0,171,116,0,0,9,12,4,0,0,5
58.0,174,116,0,0,9,12,4,0,0,5
59.0,177,116,0,0,9,12,4,0,0,5
60.0,180,116,0,0,9,12,4,0,0,5
61.0,183,116,0,0,9,12,4,0,0,5
62.0,186,116,0,0,9,12,4,0,0,5
63.0,189,116,0,0,9,12,4,0,0,5
64.0,192,116,0,0,9,12,4,0,0,5
65.0,195,116,0,0,10,12,4,0,0,5
66.0,198,124,0,0,10,12,4,0,0,5
67.0,201,124,0,0,11,12,4,0,0,5
68.0,204,132,0,0,11,13,4,0,0,5
69.0,207,135,0,0,11,13,4,0,0,5
70.0,210,135,0,0,11,14,4,0,0,5
71.0,213,138,0,0,11,14,4,0,0,5
72.0,216,138,0,0,12,14,4,0,0,5
73.0,219,146,0,0,12,14,4,0,0,5
74.0,222,146,0,0,12,14,4,0,0,5
75.0,225,146,0,0,13,14,4,0,0,5
76.0,228,154,0,0,13,14,4,0,0,5
77.0,231,154,0,0,14,14,4,0,0,5
78.0,234,162,0,0,14,14,4,0,0,5
79.0,237,162,0,0,14,14,4,0,0,5
80.0,240,162,0,0,15,14,4,0,0,5
81.0,243,170,0,0,15,14,4,0,0,5
82.0,246,170,0,0,15,14,4,0,0,5
83.0,249,170,0,0,15,14,4,0,0,5
84.0,252,170,0,0,15,15,4,0,0,5
85.0,255,173,0,0,15,15,4,0,0,5
86.0,258,173,0,0,15,16,4,0,0,5
87.0,261,176,0,0,15,17,4,0,0,5
88.0,264,179,0,0,15,17,4,0,0,5
89.0,267,179,0,0,16,17,4,0,0,5
90.0,270,187,0,0,16,17,4,0,0,5
91.0,273,187,0,0,16,17,4,0,0,5
92.0,276,187,0,0,16,17,4,0,0,5
93.0,279,187,0,0,16,17,4,0,0,5
94.0,282,187,0,0,16,17,4,0,0,5
95.0,285,187,0,0,16,18,4,0,0,5
96.0,288,190,0,0,16,18,4,0,0,5
97.0,291,190,0,0,16,18,4,0,0,5
98.0,294,190,0,0,17,18,4,0,0,5
99.0,297,198,0,0,17,18,4,0,0,5
100.0,300,198,0,0,17,18,4,0,0,5
101.0,303,198,0,0,18,18,4,0,0,5
102.0,306,206,0,0,18,18,4,0,0,5
103.0,309,206,0,0,18,18,4,0,0,5
104.0,312,206,0,0,18,18,4,0,0,5
105.0,315,206,0,0,18,18,4,0,0,5
106.0,318,206,0,0,19,18,4,0,0,5
107.0,321,214,0,0,19,18,4,0,0,5
108.0,324,214,0,0,19,19,4,0,0,5
109.0,327,217,0,0,20,19,4,0,0,5
110.0,330,225,0,0,20,19,4,0,0,5
111.0,333,225,0,0,20,20,4,0,0,5
112.0,336,228,0,0,20,20,4,0,0,5
113.0,339,228,0,0,20,20,4,0,0,5
114.0,342,228,0,0,20,21,4,0,0,5
115.0,345,231,0,0,20,21,4,0,0,5
116.0,348,231,0,0,20,22,4,0,0,5
117.0,351,234,0,0,20,22,4,0,0,5
118.0,354,234,0,0,20,23,4,0,0,5
119.0,357,237,0,0,20,23,4,0,0,5
120.0,360,237,0,0,20,23,4,0,0,5
121.0,363,237,0,0,20,23,4,0,0,5
122.0,366,237,0,0,20,23,4,0,0,5
123.0,369,237,0,0,20,23,4,0,0,5
124.0,372,237,0,0,20,23,4,0,0,5
125.0,375,237,0,0,20,24,4,0,0,5
126.0,378,240,0,0,20,24,4,0,0,5
127.0,381,240,0,0,21,24,4,0,0,5
128.0,384,248,0,0,22,24,4,0,0,5
129.0,387,256,0,0,22,24,4,0,0,5
130.0,390,256,0,0,23,24,4,0,0,5
131.0,393,264,0,0,23,24,4,0,0,5
132.0,396,264,0,0,23,24,4,0,0,5
133.0,399,264,0,0,23,24,4,0,0,5
134.0,402,264,0,0,23,24,4,0,0,5
135.0,405,264,0,0,23,24,4,0,0,5
136.0,408,264,0,0,23,24,4,0,0,5
137.0,411,264,0,0,24,24,4,0,0,5
138.0,414,272,0,0,24,24,4,0,0,5
139.0,417,272,0,0,25,24,4,0,0,5
140.0,420,280,0,0,26,24,4,0,0,5
141.0,423,288,0,0,26,24,4,0,0,5
142.0,426,288,0,0,26,24,4,0,0,5
143.0,429,288,0,0,26,24,4,0,0,5
144.0,432,288,0,0,26,24,4,0,0,5
145.0,435,288,0,0,26,24,4,0,0,5
146.0,438,288,0,0,26,25,4,0,0,5
147.0,441,291,0,0,26,25,5,0,0,5
148.0,444,293,0,0,26,25,5,0,0,5
149.0,447,293,0,0,26,26,5,0,0,5
150.0,450,296,0,0,26,26,5,0,0,5
151.0,453,296,0,0,26,26,5,0,0,5
152.0,456,296,0,0,26,26,5,0,0,5
153.0,459,296,0,0,26,27,5,0,0,5
154.0,462,299,0,0,27,27,5,0,0,5
155.0,465,307,0,0,27,27,5,0,0,5
156.0,468,307,0,0,27,27,5,0,0,5
157.0,471,307,0,0,27,27,5,0,0,5
