No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,setting
1.0,3,0,0,0,1,0,0,0,0,2
2.0,6,8,0,0,2,0,0,0,0,2
3.0,9,16,0,0,2,0,0,0,0,2
4.0,12,16,0,0,2,0,0,0,0,2
5.0,15,16,0,0,2,0,0,0,0,2
6.0,18,16,0,0,2,0,0,0,0,2
7.0,21,16,0,0,2,0,0,0,0,2
8.0,24,16,0,0,2,0,0,0,0,2
9.0,27,16,0,0,2,0,0,0,0,2
10.0,30,16,0,0,2,1,0,0,0,2
11.0,33,19,0,0,2,2,0,0,0,2
12.0,36,22,0,0,2,2,0,0,0,2
13.0,39,22,0,0,2,2,0,0,0,2
14.0,42,22,0,0,2,2,0,0,0,2
15.0,45,22,0,0,2,3,0,0,0,2
16.0,48,25,0,0,2,3,0,0,0,2
17.0,51,25,0,0,2,3,0,0,0,2
18.0,54,25,0,0,2,3,0,0,0,2
19.0,57,25,0,0,2,3,0,0,0,2
20.0,60,25,0,0,3,3,0,0,0,2
21.0,63,33,0,0,3,3,0,0,0,2
22.0,66,33,0,0,3,3,0,0,0,2
23.0,69,33,0,0,3,4,0,0,0,2
24.0,72,36,0,0,3,4,0,0,0,2
25.0,75,36,0,0,3,4,0,0,0,2
26.0,78,36,0,0,3,4,0,0,0,2
27.0,81,36,0,0,3,5,0,0,0,2
28.0,84,39,0,0,3,6,0,0,0,2
29.0,87,42,0,0,3,6,0,0,0,2
30.0,90,42,0,0,3,6,0,0,0,2
31.0,93,42,0,0,3,6,0,0,0,2
32.0,96,42,0,0,3,6,0,0,0,2
33.0,99,42,0,0,3,6,0,0,0,2
34.0,102,42,0,0,3,7,0,0,0,2
35.0,105,45,0,0,3,8,0,0,0,2
36.0,108,48,0,0,4,8,0,0,0,2
37.0,111,56,0,0,4,8,0,0,0,2
38.0,114,56,0,0,5,8,0,0,0,2
39.0,117,64,0,0,5,8,0,0,0,2
40.0,120,64,0,0,5,9,0,0,0,2
41.0,123,67,0,0,6,9,0,0,0,2
42.0,126,75,0,0,6,9,0,0,0,2
43.0,129,75,0,0,6,9,0,0,0,2
44.0,132,75,0,0,6,9,0,0,0,2
45.0,135,75,0,0,7,9,0,0,0,2
46.0,138,83,0,0,7,9,0,0,0,2
47.0,141,83,0,0,7,9,0,0,0,2
48.0,144,83,0,0,7,9,0,0,0,2
49.0,147,83,0,0,7,9,0,0,0,2
50.0,150,83,0,0,7,9,0,0,0,2
51.0,153,83,0,0,7,9,0,0,0,2
52.0,156,83,0,0,7,9,1,0,0,2
53.0,159,85,0,0,8,9,1,0,0,2
54.0,162,93,0,0,9,9,1,0,0,2
55.0,165,101,0,0,9,9,1,0,0,2
56.0,168,101,0,0,9,9,1,0,0,2
57.0,171,101,0,0,9,9,1,0,0,2
58.0,174,101,0,0,9,9,1,0,0,2
59.0,177,101,0,0,9,9,1,0,0,2
60.0,180,101,0,0,10,9,1,0,0,2
61.0,183,109,0,0,10,10,1,0,0,2
62.0,186,112,0,0,10,10,1,0,0,2
63.0,189,112,0,0,10,10,1,0,0,2
64.0,192,112,0,0,10,10,1,0,0,2
65.0,195,112,0,0,10,10,1,0,0,2
66.0,198,112,0,0,10,10,1,0,0,2
67.0,201,112,0,0,10,10,1,0,0,2
68.0,204,112,0,0,11,10,1,0,0,2
69.0,207,120,0,0,11,11,1,0,0,2
70.0,210,123,0,0,11,11,1,0,0,2
71.0,213,123,0,0,11,12,1,0,0,2
72.0,216,126,0,0,11,12,1,0,0,2
73.0,219,126,0,0,11,12,1,0,0,2
74.0,222,126,0,0,12,12,1,0,0,2
75.0,225,134,0,0,12,12,1,0,0,2
76.0,228,134,0,0,12,12,1,0,0,2
77.0,231,134,0,0,13,12,1,0,0,2
78.0,234,142,0,0,13,12,1,0,0,2
79.0,237,142,0,0,13,12,1,0,0,2
80.0,240,142,0,0,13,12,1,0,0,2
81.0,243,142,0,0,13,13,1,0,0,2
82.0,246,145,0,0,13,13,1,0,0,2
83.0,249,145,0,0,13,13,1,0,0,2
84.0,252,145,0,0,13,14,1,0,0,2
85.0,255,148,0,0,14,14,1,0,0,2
86.0,258,156,0,0,14,14,1,0,0,2
87.0,261,156,0,0,14,14,1,0,0,2
88.0,264,156,0,0,14,14,1,0,0,2
89.0,267,156,0,0,14,14,1,0,0,2
90.0,270,156,0,0,14,14,1,0,0,2
91.0,273,156,0,0,15,14,1,0,0,2
92.0,276,164,0,0,15,14,1,0,0,2
93.0,279,164,0,0,15,14,2,0,0,2
94.0,282,166,0,0,15,14,2,0,0,2
95.0,285,166,0,0,15,14,2,0,0,2
96.0,288,166,1,0,15,14,2,0,0,2
97.0,307,278,1,0,15,14,2,0,0,2
98.0,310,278,1,0,15,14,2,0,0,2
99.0,313,278,1,0,15,14,2,0,0,2
100.0,316,278,1,0,15,14,2,0,0,2
101.0,319,278,1,0,15,14,2,0,0,2
102.0,322,278,1,0,15,14,2,0,0,2
103.0,325,278,1,0,15,14,2,0,0,2
104.0,328,278,1,0,15,14,2,0,0,2
105.0,331,278,1,0,16,14,2,0,0,2
106.0,334,286,1,0,16,15,2,0,0,2
107.0,337,289,1,0,16,15,2,0,0,2
108.0,340,289,1,0,16,15,2,0,0,2
109.0,343,289,1,0,16,15,2,0,0,2
110.0,346,289,1,0,16,15,2,0,0,2
111.0,349,289,1,0,16,15,2,0,0,2
112.0,352,289,1,0,16,15,2,0,0,2
113.0,355,289,1,0,17,15,2,0,0,2
114.0,358,297,1,0,17,15,2,0,0,2
115.0,361,297,1,0,18,15,2,0,0,2
116.0,364,305,1,0,18,15,2,0,0,2
117.0,367,305,1,0,18,15,2,0,0,2
118.0,370,305,1,0,18,15,2,0,0,2
119.0,373,305,1,0,18,16,2,0,0,2
120.0,376,308,1,0,18,16,2,0,0,2
121.0,379,308,1,0,18,16,2,0,0,2
122.0,382,308,1,0,18,16,2,0,0,2
123.0,385,308,1,0,19,16,2,0,0,2
124.0,388,316,1,0,19,16,2,0,0,2
125.0,391,316,1,0,19,17,2,0,0,2
126.0,394,319,1,0,19,17,2,0,0,2
127.0,397,319,1,0,19,17,2,0,0,2
128.0,400,319,1,0,19,17,2,0,0,2
129.0,403,319,1,0,20,17,2,0,0,2
130.0,406,327,1,0,20,17,2,0,0,2
131.0,409,327,1,0,20,18,2,0,0,2
132.0,412,330,1,0,20,19,2,0,0,2
133.0,415,333,1,0,21,19,2,0,0,2
134.0,418,341,1,0,21,19,2,0,0,2
135.0,421,341,1,0,21,19,2,0,0,2
136.0,424,341,1,0,21,19,2,0,0,2
137.0,427,341,1,0,21,20,2,0,0,2
138.0,430,344,1,0,22,20,2,0,0,2
139.0,433,352,1,0,23,20,2,0,0,2
140.0,436,360,1,0,23,20,2,0,0,2
141.0,439,360,1,0,23,20,2,0,0,2
142.0,442,360,1,0,23,20,2,0,0,2
143.0,445,360,1,0,23,20,2,0,0,2
144.0,448,360,1,0,23,20,2,0,0,2
145.0,451,360,1,0,23,20,2,0,0,2
146.0,452,360,2,0,23,20,2,0,0,2
147.0,471,474,2,0,23,20,2,0,0,2
148.0,474,474,2,0,23,20,2,0,0,2
149.0,477,474,2,0,23,20,2,0,0,2
150.0,480,474,2,0,23,20,2,0,0,2
151.0,483,474,2,0,24,20,2,0,0,2
152.0,486,482,2,0,24,20,2,0,0,2
153.0,489,482,2,0,25,20,2,0,0,2
154.0,492,490,2,0,25,20,2,0,0,2
155.0,495,490,2,0,25,20,2,0,0,2
156.0,498,490,2,0,25,20,2,0,0,2
157.0,501,490,2,0,25,21,2,0,0,2
158.0,504,493,2,0,25,21,2,0,0,2
159.0,507,493,2,0,25,21,2,0,0,2
160.0,510,493,2,0,25,21,2,0,0,2
161.0,513,493,2,0,25,21,2,0,0,2
162.0,516,493,2,0,25,21,2,0,0,2
163.0,519,493,2,0,25,21,2,0,0,2
164.0,522,493,2,0,25,21,2,0,0,2
165.0,525,493,2,0,26,21,2,0,0,2
166.0,528,501,2,0,26,21,2,0,0,2
167.0,531,501,2,0,26,21,2,0,0,2
168.0,534,501,2,0,26,21,2,0,0,2
169.0,537,501,2,0,26,21,2,0,0,2
170.0,540,501,2,0,26,22,2,0,0,2
171.0,543,504,2,0,26,23,2,0,0,2
172.0,546,507,2,0,27,23,2,0,0,2
173.0,549,515,2,0,27,23,2,0,0,2
174.0,552,515,2,0,27,23,2,0,0,2
175.0,555,515,2,0,27,23,2,0,0,2
176.0,558,515,2,0,27,23,2,0,0,2
177.0,561,515,2,0,28,23,2,0,0,2
178.0,564,523,2,0,28,23,2,0,0,2
179.0,567,523,2,0,29,23,2,0,0,2
180.0,570,531,2,0,30,23,2,0,0,2
181.0,573,539,2,0,31,23,2,0,0,2
182.0,576,547,2,0,31,23,2,0,0,2
183.0,579,547,2,0,31,23,2,0,0,2
184.0,582,547,2,0,31,23,2,0,0,2
185.0,585,547,2,0,31,23,2,0,0,2
186.0,588,547,2,0,31,23,2,0,0,2
187.0,591,547,2,0,32,23,2,0,0,2
188.0,594,555,2,0,32,23,2,0,0,2
189.0,597,555,2,0,32,23,2,0,0,2
190.0,600,555,2,0,32,23,2,0,0,2
191.0,603,555,2,0,32,23,2,0,0,2
192.0,606,555,2,0,32,23,2,0,0,2
193.0,609,555,2,0,33,23,2,0,0,2
194.0,612,563,2,0,33,23,2,0,0,2
195.0,615,563,2,0,33,23,2,0,0,2
196.0,618,563,2,0,33,23,2,0,0,2
197.0,621,563,2,0,34,23,2,0,0,2
198.0,624,571,2,0,34,23,2,0,0,2
199.0,627,571,2,0,34,24,2,0,0,2
200.0,630,574,2,0,34,24,2,0,0,2
201.0,633,574,2,0,34,24,2,0,0,2
202.0,636,574,2,0,34,24,2,0,0,2
203.0,639,574,2,0,34,24,2,0,0,2
204.0,642,574,2,0,34,24,2,0,0,2
205.0,645,574,2,0,34,24,2,0,0,2
206.0,648,574,2,0,34,24,2,0,0,2
207.0,651,574,2,0,34,24,2,0,0,2
208.0,654,574,2,0,35,24,2,0,0,2
209.0,657,582,2,0,35,25,2,0,0,2
210.0,660,585,2,0,36,25,2,0,0,2
211.0,663,593,2,0,36,25,2,0,0,2
212.0,666,593,2,0,36,25,2,0,0,2
213.0,669,593,2,0,36,25,2,0,0,2
214.0,672,593,2,0,36,25,2,0,0,2
215.0,675,593,2,0,36,25,2,0,0,2
216.0,678,593,2,0,36,25,2,0,0,2
217.0,681,593,2,0,36,25,2,0,0,2
218.0,684,593,2,0,36,25,2,0,0,2
