No_of_Rotation_(excluding_bonus),Coins_Inserted_Cumulative,Coins_Acquired_Cumulative,No_of_Regular_Bonus,No_of_Big_Bonus,No_of_grape_till_now,No_of_rhino_till_now,No_of_cherry_corner_till_now,No_of_clown_till_now,No_of_cherry_middle_till_now,setting
1.0,3,3,0,0,0,0,0,0,0,5
2.0,6,3,0,0,0,0,0,0,0,5
3.0,9,3,0,0,1,0,0,0,0,5
4.0,12,11,0,0,1,0,0,0,0,5
5.0,15,11,0,0,1,0,0,0,0,5
6.0,18,11,0,0,1,0,0,0,0,5
7.0,21,11,0,0,1,0,0,0,0,5
8.0,24,11,0,0,1,0,0,0,0,5
9.0,27,11,0,0,1,0,0,0,0,5
10.0,28,11,1,0,1,0,0,0,0,5
11.0,47,123,1,0,1,0,0,0,0,5
12.0,50,123,1,0,1,1,0,0,0,5
13.0,53,126,1,0,2,1,0,0,0,5
14.0,56,134,1,0,2,1,0,0,0,5
15.0,59,134,1,0,2,1,0,0,0,5
16.0,62,134,1,0,2,1,0,0,0,5
17.0,65,134,1,0,2,2,0,0,0,5
18.0,68,137,1,0,3,2,0,0,0,5
19.0,71,145,1,0,3,2,0,0,0,5
20.0,74,145,1,0,3,2,0,0,0,5
21.0,77,145,1,0,4,2,0,0,0,5
22.0,80,153,1,0,4,2,0,0,0,5
23.0,83,153,1,0,4,2,0,0,0,5
24.0,86,153,1,0,4,2,0,0,0,5
25.0,89,153,1,0,4,3,0,0,0,5
26.0,92,156,1,0,4,3,0,0,0,5
27.0,95,156,1,0,4,3,0,0,0,5
28.0,96,156,2,0,4,3,0,0,0,5
29.0,115,276,2,0,4,4,0,0,0,5
30.0,118,279,2,0,4,5,0,0,0,5
31.0,121,282,2,0,5,5,0,0,0,5
32.0,124,290,2,0,5,5,0,0,0,5
33.0,127,290,2,0,5,5,0,0,0,5
34.0,130,290,2,0,5,5,0,0,0,5
35.0,133,290,2,0,6,5,0,0,0,5
36.0,136,298,2,0,6,6,0,0,0,5
37.0,139,301,2,0,6,6,0,0,0,5
38.0,142,301,2,0,6,6,0,0,0,5
39.0,145,301,2,0,6,6,0,0,0,5
40.0,148,301,2,0,6,6,0,0,0,5
41.0,151,301,2,0,6,6,0,0,0,5
42.0,154,301,2,0,6,7,0,0,0,5
43.0,157,304,2,0,6,7,0,0,0,5
44.0,160,304,2,0,6,7,0,0,0,5
45.0,163,304,2,0,6,7,0,0,0,5
46.0,166,304,2,0,6,8,0,0,0,5
47.0,169,307,2,0,7,8,0,0,0,5
48.0,172,315,2,0,8,8,0,0,0,5
49.0,175,323,2,0,8,8,0,0,0,5
50.0,178,323,2,0,8,8,0,0,0,5
51.0,181,323,2,0,8,9,0,0,0,5
52.0,184,326,2,0,8,10,0,0,0,5
53.0,187,329,2,0,8,10,0,0,0,5
54.0,190,329,2,0,9,10,0,0,0,5
55.0,193,337,2,0,9,10,0,0,0,5
56.0,196,337,2,0,9,10,0,0,0,5
57.0,199,337,2,0,9,11,0,0,0,5
58.0,202,340,2,0,9,11,0,0,0,5
59.0,205,340,2,0,9,11,0,0,0,5
60.0,208,340,2,0,9,11,0,0,0,5
61.0,211,340,2,0,9,11,0,0,0,5
62.0,214,340,2,0,9,11,0,0,0,5
63.0,217,340,2,0,9,11,1,0,0,5
64.0,220,342,2,0,9,11,1,0,0,5
65.0,223,342,2,0,9,11,1,0,0,5
66.0,226,342,2,0,10,11,1,0,0,5
67.0,229,350,2,0,11,11,1,0,0,5
68.0,232,358,2,0,11,11,1,0,0,5
69.0,235,358,2,0,11,11,1,0,0,5
70.0,236,358,2,1,11,11,1,0,0,5
71.0,281,652,2,1,11,11,1,0,0,5
72.0,284,652,2,1,11,11,1,0,0,5
73.0,287,652,2,1,11,11,1,0,0,5
74.0,290,652,2,1,12,11,1,0,0,5
75.0,293,660,2,1,12,11,1,0,0,5
76.0,296,660,2,1,12,11,1,0,0,5
77.0,299,660,2,1,12,11,1,0,0,5
78.0,302,660,2,1,12,12,1,0,0,5
79.0,305,663,2,1,12,12,1,0,0,5
80.0,308,663,2,1,12,12,1,0,0,5
81.0,311,663,2,1,13,12,1,0,0,5
82.0,314,671,2,1,13,12,1,0,0,5
83.0,317,671,2,1,13,12,1,0,0,5
84.0,320,671,2,1,13,12,1,0,0,5
85.0,321,671,3,1,13,12,1,0,0,5
86.0,340,783,3,1,13,12,1,0,0,5
87.0,343,783,3,1,13,12,1,0,0,5
88.0,346,783,3,1,13,12,1,0,0,5
89.0,349,783,3,1,13,12,1,0,0,5
90.0,352,783,3,1,13,12,1,0,0,5
91.0,355,783,3,1,13,12,1,0,0,5
92.0,358,783,3,1,13,13,1,0,0,5
93.0,361,786,3,1,13,13,1,0,0,5
94.0,364,786,3,1,13,14,1,0,0,5
95.0,367,789,3,1,13,14,1,0,0,5
96.0,370,789,3,1,13,14,1,0,0,5
97.0,373,789,3,1,13,14,1,0,0,5
98.0,376,789,3,1,13,14,1,0,0,5
99.0,379,789,3,1,13,14,1,0,0,5
100.0,382,789,3,1,13,14,1,0,0,5
101.0,385,789,3,1,13,14,1,0,0,5
102.0,388,789,3,1,13,14,1,0,0,5
103.0,391,789,3,1,13,14,1,0,0,5
104.0,394,789,3,1,13,14,1,0,0,5
105.0,397,789,3,1,13,14,1,0,0,5
106.0,400,789,3,1,13,14,1,0,0,5
107.0,403,789,3,1,13,14,1,0,0,5
108.0,406,789,3,1,13,14,1,0,0,5
109.0,409,789,3,1,13,14,1,0,0,5
110.0,412,789,3,1,13,14,1,0,0,5
111.0,415,789,3,1,14,14,1,0,0,5
112.0,418,797,3,1,14,14,1,0,0,5
113.0,421,797,3,1,14,14,1,0,0,5
114.0,424,797,3,1,14,14,1,0,0,5
115.0,427,797,3,1,14,14,1,0,0,5
116.0,430,797,3,1,14,14,1,0,0,5
117.0,433,797,3,1,15,14,1,0,0,5
118.0,436,805,3,1,15,14,1,0,0,5
119.0,439,805,3,1,15,14,1,0,0,5
120.0,442,805,3,1,15,14,1,0,0,5
121.0,445,805,3,1,15,14,1,0,0,5
122.0,448,805,3,1,16,14,1,0,0,5
123.0,451,813,3,1,16,14,1,0,0,5
124.0,454,813,3,1,16,14,1,0,0,5
125.0,457,813,3,1,16,14,1,0,0,5
126.0,460,813,3,1,16,14,1,0,0,5
127.0,463,813,3,1,16,14,1,0,0,5
128.0,466,813,3,1,16,14,1,0,0,5
129.0,469,813,3,1,16,14,1,0,0,5
130.0,472,813,3,1,17,14,1,0,0,5
131.0,475,821,3,1,17,14,1,0,0,5
132.0,478,821,3,1,17,15,1,0,0,5
133.0,481,824,3,1,17,15,1,0,0,5
134.0,484,824,3,1,17,15,1,0,0,5
135.0,487,824,3,1,18,15,1,0,0,5
136.0,490,832,3,1,18,15,1,0,0,5
137.0,493,832,3,1,18,15,1,0,0,5
138.0,496,832,3,1,18,15,1,0,0,5
139.0,499,832,3,1,18,15,1,0,0,5
140.0,502,832,3,1,18,15,1,0,0,5
141.0,505,832,3,1,18,16,1,0,0,5
142.0,508,835,3,1,18,16,1,0,0,5
143.0,511,835,3,1,19,16,1,0,0,5
144.0,514,843,3,1,19,16,1,0,0,5
145.0,517,843,3,1,20,16,1,0,0,5
146.0,520,851,3,1,20,16,1,0,0,5
147.0,523,851,3,1,21,16,1,0,0,5
148.0,526,859,3,1,21,16,1,0,0,5
149.0,529,859,3,1,21,16,1,0,0,5
150.0,532,859,3,1,21,16,1,0,0,5
151.0,535,859,3,1,21,16,1,0,0,5
152.0,538,859,3,1,21,16,1,0,0,5
153.0,541,859,3,1,21,16,1,0,0,5
154.0,544,859,3,1,21,16,1,0,0,5
155.0,547,859,3,1,21,17,1,0,0,5
156.0,550,862,3,1,21,17,1,0,0,5
157.0,553,862,3,1,21,17,1,0,0,5
158.0,556,862,3,1,21,17,1,0,0,5
159.0,559,862,3,1,21,17,1,0,0,5
160.0,562,862,3,1,21,17,1,0,0,5
161.0,565,862,3,1,21,17,1,0,0,5
162.0,568,862,3,1,21,18,1,0,0,5
163.0,571,865,3,1,21,18,1,0,0,5
164.0,574,865,3,1,21,19,1,0,0,5
165.0,577,868,3,1,21,19,1,0,0,5
166.0,580,868,3,1,22,19,1,0,0,5
167.0,583,876,3,1,22,19,1,0,0,5
168.0,586,876,3,1,22,19,1,0,0,5
169.0,589,876,3,1,22,19,1,0,0,5
170.0,592,876,3,1,23,19,1,0,0,5
171.0,595,884,3,1,23,19,2,0,0,5
172.0,598,886,3,1,23,19,2,0,0,5
173.0,601,886,3,1,23,19,2,0,1,5
174.0,602,887,3,1,23,19,2,0,1,5
175.0,603,887,4,1,23,19,2,0,1,5
176.0,622,999,4,1,23,19,2,0,1,5
177.0,625,999,4,1,23,19,2,0,1,5
178.0,628,999,4,1,24,19,2,0,1,5
179.0,631,1007,4,1,24,19,2,0,1,5
180.0,634,1007,4,1,24,19,2,0,1,5
181.0,637,1007,4,1,24,19,2,0,1,5
182.0,640,1007,4,1,24,20,2,0,1,5
183.0,643,1010,4,1,24,20,2,0,1,5
184.0,646,1010,4,1,24,20,2,0,1,5
185.0,649,1010,4,1,24,20,2,0,1,5
186.0,652,1010,4,1,24,20,2,0,1,5
187.0,655,1010,4,1,25,20,2,0,1,5
188.0,658,1018,4,1,25,20,2,0,1,5
189.0,661,1018,4,1,25,20,2,0,1,5
190.0,664,1018,4,1,26,20,2,0,1,5
191.0,667,1026,4,1,26,20,2,0,1,5
192.0,670,1026,4,1,26,20,2,0,1,5
193.0,673,1026,4,1,27,20,2,0,1,5
194.0,676,1034,4,1,27,20,2,0,1,5
195.0,679,1034,4,1,27,20,2,0,1,5
196.0,682,1034,4,1,28,20,2,0,1,5
197.0,685,1042,4,1,28,20,2,0,1,5
198.0,688,1042,4,1,28,20,2,0,1,5
199.0,691,1042,4,1,28,20,2,0,1,5
200.0,694,1042,4,1,28,20,2,0,1,5
201.0,697,1042,4,1,28,20,2,0,1,5
202.0,700,1042,4,1,28,21,2,0,1,5
203.0,703,1045,4,1,28,21,2,0,1,5
204.0,706,1045,4,1,28,21,2,0,1,5
205.0,709,1045,4,1,28,21,2,0,1,5
206.0,712,1045,4,1,28,21,2,0,1,5
207.0,715,1045,4,1,29,21,2,0,1,5
208.0,718,1053,4,1,29,21,2,0,1,5
209.0,721,1053,4,1,29,21,2,0,1,5
210.0,724,1053,4,1,30,21,2,0,1,5
211.0,727,1061,4,1,30,21,2,0,1,5
212.0,730,1061,4,1,30,22,2,0,1,5
213.0,733,1064,4,1,30,22,2,0,1,5
214.0,736,1064,4,1,30,22,2,0,1,5
215.0,739,1064,4,1,30,23,2,0,1,5
216.0,742,1067,4,1,30,24,2,0,1,5
217.0,745,1070,4,1,30,24,2,0,1,5
218.0,748,1070,4,1,30,24,2,0,1,5
219.0,751,1070,4,1,30,24,2,0,1,5
220.0,754,1070,4,1,30,24,2,0,1,5
221.0,757,1070,4,1,30,24,2,0,1,5
222.0,760,1070,4,1,30,24,2,0,1,5
223.0,763,1070,4,1,30,24,2,0,1,5
224.0,766,1070,4,1,30,24,2,0,1,5
225.0,769,1070,4,1,30,24,2,0,1,5
226.0,772,1070,4,1,30,25,2,0,1,5
227.0,775,1073,4,1,30,25,2,0,1,5
228.0,778,1073,4,1,30,25,2,0,1,5
229.0,781,1073,4,1,30,25,2,0,1,5
230.0,784,1073,4,1,30,26,2,0,1,5
231.0,787,1076,4,1,30,26,2,0,1,5
232.0,790,1076,4,1,30,27,2,0,1,5
233.0,793,1079,4,1,30,28,2,0,1,5
234.0,796,1082,4,1,30,28,2,0,1,5
235.0,799,1082,4,1,30,29,2,0,1,5
236.0,802,1085,4,1,30,29,2,0,1,5
